Material composition,O p-band center (eV),Predicted Log k* (cm/s),Bandgap (eV),Charge transfer gap (eV),Energy above convex hull (meV/atom),Formation energy (eV/atom)
La8V4Cr4O24,-3.619,-10.3542,1.177,1.214,49.15732575,-2.403775123
La8V7Fe1O24,-3.703,-10.6352,0.834,0.872,35.12322163,-2.420960797
La8V6Fe2O24,-3.586,-10.2437,0.834,0.91,35.15839525,-2.37766361
La8V4Fe4O24,-3.412,-9.6616,0.871,0.947,28.2257425,-2.298072234
La8Mg1V7O24,-4.627,-13.7267,0,0,0,-2.8764654
La8Mg2V6O24,-4.443,-13.1111,0,0,0,-2.862613065
La8Mg4V4O24,-4.065,-11.8464,0,0.114,0,-2.836059896
La8Mn1V7O24,-3.579,-10.2203,1.137,1.175,86.88965402,-2.384837022
La8Mn2V6O24,-3.543,-10.0999,0.694,0.732,36.17951005,-2.40792781
La8Mn4V4O24,-3.434,-9.7352,0.303,0.341,73.3952221,-2.315473384
La8V7Ni1O24,-3.649,-10.4545,0.616,0.654,73.00164094,-2.372156371
La8V6Ni2O24,-3.7,-10.6252,0.5,0.539,117.7144839,-2.273255508
La8V4Ni4O24,-2.939,-8.079,1.307,1.346,104.542615,-2.12055853
La8V8O24,-3.724,-10.7055,1.175,1.213,36.257048,-2.463088985
Sr1Mg2O24Ga6La7,-1.744,-4.0808,0,3.937,157.5955996,-2.197137028
Ba4Ce4Mn8O24,-2.626,-7.0318,0,0,119.1141677,-1.93635119
Ba4Dy4Mn8O24,-1.88,-4.5358,0,0,137.4087125,-1.853918878
Ba4Er4Mn8O24,-1.882,-4.5425,0,0,150.9998764,-1.850509856
Ba4Gd4Mn8O24,-2.143,-5.4157,0,0,105.6931653,-1.838973671
Ba4Ho4Mn8O24,-1.891,-4.5726,0,0,144.1945715,-1.85219302
Ba4La4Mn8O24,-2.136,-5.3923,0,0,78.00949578,-1.88783422
Ba4Nd4Mn8O24,-1.773,-4.1778,0,0,93.96023403,-1.848628108
Ba4Pr4Mn8O24,-1.867,-4.4923,0,0,53.54285953,-1.880636254
Ba4Sm4Mn8O24,-1.805,-4.2849,0,0,107.9750668,-1.848396578
Ba4Y4Mn8O24,-1.879,-4.5325,0,0,124.6308404,-1.853725944
Ba4Pr4Mn6Co2O24,-1.873,-4.5124,0,0.129,86.53565683,-1.752565983
Ba4Pr4Mn6Cu2O24,-1.564,-3.4785,0,0,132.1090243,-1.659871144
Ba4Pr4Mn6Fe2O24,-1.818,-4.3284,0,0,80.45910798,-1.831687054
Ba4Pr4Mn6Ni2O24,-1.482,-3.2042,0,0,112.573845,-1.676472702
Ba4Sr4Fe2Co5Nb1O24,-1.646,-3.7529,0,0,65.29481037,-1.496278474
Ba4Sr4Fe2Co5Y1O24,-1.511,-3.3012,0,0,100.8597813,-1.436896645
Ba4Sr4Fe2Co5Zr1O24,-1.541,-3.4016,0,0,77.98044279,-1.49510528
Ba4Sr4Fe2Co6O24,-1.525,-3.348,0,0,123.7540164,-1.253011256
Sr4Nb1Ba4O24Fe7,-1.439,-3.0603,0,0,26.83259762,-1.686287651
Sr4Zn2Ba4O24Fe6,-1.241,-2.3978,0,0,85.19420825,-1.42956855
O24Co3Ba8Zr2Fe3,-1.533,-3.3748,0,0,58.6508558,-1.720167476
Co3Ba8O24Fe3Y1Zr1,-1.404,-2.9432,0,0,75.88549386,-1.667935341
Ba7Cd1Hf1Zr6Fe1O24,-1.938,-4.7299,0,0,0,-2.672813042
Ba6Cd2Hf1Zr6Fe1O24,-2.162,-5.4793,0,0,0,-2.536790687
Ba4Cd4Hf1Zr6Fe1O24,-1.797,-4.2581,0,0,98.58075515,-2.235525477
Ba7Sn1Hf1Zr6Fe1O24,-1.857,-4.4589,0,0.173,0,-2.700424459
Ba6Sn2Hf1Zr6Fe1O24,-1.841,-4.4053,0,0.695,3.509828563,-2.581108771
Ba4Sn4Hf1Zr6Fe1O24,-1.791,-4.238,0,0,85.23364294,-2.325448895
Ba7Bi1Fe8O24,-1.199,-2.2573,0,0,100.9492247,-1.354820188
Ba6Bi2Fe8O24,-1.239,-2.3911,0,0.295,129.3236717,-1.27956302
Ba4Bi4Fe8O24,-1.531,-3.3681,0,0,187.3910463,-1.093093684
Ba7Cd1Fe8O24,-1.175,-2.177,0,0,126.8863121,-1.29727375
Ba6Cd2Fe8O24,-1.17,-2.1603,0,0,175.5795965,-1.170088395
Ba4Cd4Fe8O24,-1.207,-2.2841,0,0,278.9846652,-0.909699185
Ba7Sn1Fe8O24,-1.242,-2.4012,0,0,185.4042107,-1.320784417
Ba6Sn2Fe8O24,-1.297,-2.5852,0,0.222,283.9064534,-1.213067479
Ba4Sn4Fe8O24,-1.291,-2.5651,0,0,468.0346095,-0.988624603
Ba7Bi1Zr7Fe1O24,-1.547,-3.4217,2.194,2.265,0,-2.660210354
Ba6Bi2Zr7Fe1O24,-2.489,-6.5734,1.422,1.49,0.202289181,-2.532279186
Ba4Bi4Zr7Fe1O24,-3.493,-9.9326,0,0,138.8928547,-2.19333335
Ba7Cd1Zr7Fe1O24,-1.28,-2.5283,0,1.944,22.47840028,-2.593572416
Ba6Cd2Zr7Fe1O24,-1.267,-2.4848,0,1.554,59.1838239,-2.456707811
Ba4Cd4Zr7Fe1O24,-1.366,-2.8161,0,0.354,151.5536712,-2.164019601
Ba7Sn1Zr7Fe1O24,-1.509,-3.2945,0,0,21.17208738,-2.631881583
Ba6Sn2Zr7Fe1O24,-1.451,-3.1005,0,1.846,52.48224456,-2.513603395
Ba4Sn4Zr7Fe1O24,-1.341,-2.7324,0,2.064,137.1260589,-2.255023519
Sr4Bi4O24Fe8,-1.753,-4.1109,0,0,73.18129625,-1.222378547
Bi1Ba3Sr4Fe2Co6O24,-1.553,-3.4417,0,0,125.2922076,-1.188308338
Bi2Ba2Sr4Fe2Co6O24,-1.628,-3.6927,0,0,126.8818988,-1.12355392
Bi4Sr4Fe2Co6O24,-2.005,-4.954,0,0,170.3886173,-0.946845584
Ba3Sr3La2Mn1Fe7O24,-2.522,-6.6838,0,0,0,-2.224516947
La2Sr6Cr2Fe6O24,-2.002,-4.944,0,0,89.81673775,-1.722994502
Ba6La2Mn2Fe6O24,-1.533,-3.3748,0,0.143,69.97238548,-1.647652838
Ba8Mn2Zr1Fe5O24,-1.615,-3.6492,0,0,0,-1.975964544
Ba7Sr1Mn1Fe7O24,-1.171,-2.1636,0,0,87.78436313,-1.452043859
Ba7Sr1Mn2Fe6O24,-1.147,-2.0833,0,0.147,93.67170962,-1.472318334
Ba8Fe2Nb1Co5O24,-1.413,-2.9733,0,0,122.3113557,-1.422003611
Ba8Cr8O24,-1.886,-4.5559,0,0.287,15.00782838,-1.809455134
Ba8Ti8O24,-1.876,-4.5224,1.539,1.608,19.340972,-2.699870235
Ba8V8O24,-3.123,-8.6946,0,0,0,-2.161760358
Ca8Cr8O24,-2.24,-5.7403,0,0.114,0,-1.943950692
Ca8Ti8O24,-1.754,-4.1142,2.166,2.234,12.44807725,-2.774066793
Ca8V8O24,-3.099,-8.6143,0,0,0,-2.260366166
Sr8O24Cr8,-2.247,-5.7637,0,0,0,-1.89366711
Sr8Ti8O24,-2.097,-5.2618,1.651,1.72,8.691789,-2.773721211
Ba4Gd4Co8O24,-2.02,-5.0042,0,0,130.5973922,-1.453169088
Fe6Co2Ba6O24La2,-1.645,-3.7495,0,0,32.94129861,-1.597353317
La5Sr3Fe6Co2O24,-2.248,-5.7671,0,0,47.08625046,-1.828526824
O24Sr3Fe6Cu2La5,-2.17,-5.5061,0,0,4.367176885,-1.826953985
Ba6Bi1La1Fe8O24,-1.399,-2.9265,0,0.328,93.42580713,-1.443668329
Ba5Bi2La1Fe8O24,-1.573,-3.5086,0,0,127.3781892,-1.358503661
Ba3Bi4La1Fe8O24,-1.991,-4.9072,0,0,171.9567027,-1.180790075
Ba6Cd1La1Fe8O24,-1.38,-2.8629,0,0,114.5546445,-1.390930141
Ba5Cd2La1Fe8O24,-1.415,-2.98,0,0,166.1874289,-1.260805286
Ba3Cd4La1Fe8O24,-1.464,-3.144,0,0,258.6653096,-1.009429826
Ba6Sn1La1Fe8O24,-1.49,-3.2309,0,0,158.4270431,-1.429086308
Ba5Sn2La1Fe8O24,-1.596,-3.5856,0,0.4,276.0287208,-1.29794037
Ba3Sn4La1Fe8O24,-2.53,-6.7106,0,0,285.9481644,-1.230692994
Ba3Bi1Pr4Co8O24,-1.818,-4.3284,0,0,109.0334108,-1.372961253
Ba2Bi2Pr4Co8O24,-1.953,-4.78,0,0,106.702335,-1.311862585
Bi4Pr4Co8O24,-2.108,-5.2986,0,0,69.47351553,-1.201756999
Ba3Cd1Pr4Ni8O24,-1.36,-2.796,0,0.604,257.0759627,-0.96739269
Ba2Cd2Pr4Ni8O24,-1.342,-2.7358,0,0.525,284.8981896,-0.868639335
Cd4Pr4Ni8O24,-1.348,-2.7558,0,0.528,298.3688313,-0.699772875
Ba3Sn1Pr4Ni8O24,-1.409,-2.9599,0,0.603,263.8395748,-1.047629357
Ba2Sn2Pr4Ni8O24,-1.536,-3.3848,0,0,276.3402685,-1.033511169
Sn4Pr4Ni8O24,-1.71,-3.967,0,1.209,232.4540109,-1.056475793
Sr4Sm4Co8O24,-1.939,-4.7332,0,0,83.91719575,-1.507048108
Sr8Co6Fe2O24,-1.706,-3.9536,0,0,44.54144834,-1.346238869
Sr8Nb1Fe7O24,-2.441,-6.4128,0,0,0,-2.262307014
Sc2Sr8Co6O24,-1.876,-4.5224,0,0,0,-1.946515225
Ba4Pr4Hf4Co4O24,-1.742,-4.0741,0.739,0.809,99.7625282,-2.305075518
Ba4Pr4Hf6Co2O24,-2.208,-5.6332,2.474,2.566,48.46453063,-2.742728066
Ba4Pr4Hf7Co1O24,-5.272,-15.8848,0,0,185.5245423,-2.775608965
Ba4Pr4Nb4Co4O24,-2.172,-5.5128,1.867,1.936,52.02867683,-2.18843454
Ba4Pr4Nb6Co2O24,-4.744,-14.1182,0,0,251.360287,-2.190301975
Ba4Pr4Nb7Co1O24,-4.927,-14.7305,0,0,207.5157135,-2.248945942
Ba4Pr4Ta4Co4O24,-2.195,-5.5897,2.149,2.241,39.9617942,-2.296131733
Ba4Pr4Ta6Co2O24,-5.283,-15.9216,0,0,294.4157031,-2.290383014
Ba4Pr4Ta7Co1O24,-5.463,-16.5238,0,0,280.8764698,-2.309389655
Ba4Pr4Zr4Co4O24,-1.886,-4.5559,0.182,0.212,77.8684422,-2.252837764
Ba4Pr4Zr6Co2O24,-2.319,-6.0046,2.425,2.484,47.36934588,-2.653410311
Ba4Pr4Zr7Co1O24,-4.966,-14.8609,0,0,165.7784332,-2.696801584
Ba4Pr4Hf4Fe4O24,-3.19,-8.9188,0,0,0,-2.572224659
Ba4Pr4Hf6Fe2O24,-3.287,-9.2433,1.141,1.309,139.7631331,-2.685304137
Ba4Pr4Hf7Fe1O24,-5.224,-15.7242,0,0,197.2462569,-2.763887251
Ba4Pr4Nb4Fe4O24,-2.541,-6.7474,1.747,1.816,42.1689745,-2.257611932
Ba4Pr4Nb6Fe2O24,-4.676,-13.8907,0,0,211.4607162,-2.230201546
Ba4Pr4Nb7Fe1O24,-4.868,-14.5331,0,0,202.6645534,-2.252596728
Ba4Pr4Ta4Fe4O24,-2.487,-6.5667,2.504,2.538,31.5202492,-2.372322625
Ba4Pr4Ta6Fe2O24,-5.301,-15.9818,0,0,281.1024426,-2.300012335
Ba4Pr4Ta7Fe1O24,-5.501,-16.6509,0,0,286.014919,-2.29652069
Ba4Pr4Zr4Fe4O24,-1.859,-4.4655,1.875,1.981,126.7773445,-2.350017906
Ba4Pr4Zr6Fe2O24,-2.333,-6.0515,2.075,2.357,202.2839484,-2.532370382
Ba4Pr4Zr7Fe1O24,-4.931,-14.7438,0,0,175.5693978,-2.68701062
Ba4Pr4Hf4Ni4O24,-1.676,-3.8533,0,2.553,230.9219046,-2.073805955
Ba4Pr4Hf6Ni2O24,-2.237,-5.7303,2.319,2.396,140.5385504,-2.611074285
Ba4Pr4Hf7Ni1O24,-5.311,-16.0152,0,0,229.0646829,-2.732068825
Ba4Pr4Nb4Ni4O24,-2.075,-5.1882,2.49,2.529,134.5064424,-2.015248478
Ba4Pr4Nb6Ni2O24,-4.73,-14.0713,0,0,321.9895748,-2.122467444
Ba4Pr4Ta4Ni4O24,-2.027,-5.0276,2.73,2.808,139.3450813,-2.134894921
Ba4Pr4Ta6Ni2O24,-5.328,-16.0721,0,0,367.6244316,-2.222287483
Ba4Pr4Ta7Ni1O24,-5.541,-16.7848,0,0,299.6924848,-2.291491514
Ba4Pr4Zr4Ni4O24,-1.719,-3.9971,0,2.431,199.6845686,-2.030911452
Ba4Pr4Zr6Ni2O24,-2.199,-5.6031,2.192,2.423,128.4488656,-2.53275103
Ba4Pr4Zr7Ni1O24,-5.031,-15.0784,0,0,211.4768238,-2.651103194
Ba2Pr6Co8O24,-2.086,-5.225,0,0,62.49404951,-1.60742447
Ba4Pr4Co8O24,-2.107,-5.2953,0,0,113.9014866,-1.431522921
Ca2Pr6Co8O24,-2.249,-5.7704,0,0,49.69176246,-1.640763609
Ca4Pr4Co8O24,-2.239,-5.7369,0,0,73.13416251,-1.51336395
Pr6Dy2Co8O24,-2.276,-5.8607,0,0,48.04117053,-1.780956081
Pr4Dy4Co8O24,-2.076,-5.1916,0,0,50.83922866,-1.812742643
Pr6Gd2Co8O24,-2.895,-7.9318,0,0.53,0,-2.165381602
Pr4Gd4Co8O24,-2.938,-8.0757,0,0,0,-2.018360436
Pr6Ho2Co8O24,-2.172,-5.5128,0,0,47.45866309,-1.784273652
Pr4Ho4Co8O24,-2.108,-5.2986,0,0,57.38221378,-1.811669785
Pr6Nd2Co8O24,-2.164,-5.486,0,0,25.02448734,-1.775144821
Pr4Nd4Co8O24,-2.027,-5.0276,0,0,25.30311228,-1.780622873
Pr6Sm2Co8O24,-1.856,-4.4555,0.778,0.804,47.801376,-1.762374181
Pr4Sm4Co8O24,-2.042,-5.0778,0,0,35.07688959,-1.790861593
Sr2Pr6Co8O24,-2.25,-5.7738,0,0,38.14651548,-1.638779526
Sr4Pr4Co8O24,-2.24,-5.7403,0,0,64.97491856,-1.494464534
Pr8Cr1Co7O24,-2.277,-5.8641,0.339,0.367,22.37403472,-1.834268651
Pr8Cr2Co6O24,-2.278,-5.8674,0.14,0.196,29.18020703,-1.889692534
Pr8Cr4Co4O24,-2.141,-5.4091,0.528,0.584,13.18080166,-2.030152049
Pr8Fe1Co7O24,-2.21,-5.6399,0,0,42.23558798,-1.788699304
Pr8Fe2Co6O24,-2.154,-5.4526,0,0.143,36.16956355,-1.831287589
Pr8Fe4Co4O24,-2.311,-5.9778,0,0.252,40.8070147,-1.89969466
Pr8Mg1Co7O24,-2.724,-7.3597,0,0,0,-2.202330157
Pr8Mg2Co6O24,-2.522,-6.6838,0,0,0,-2.244308545
Pr8Mg4Co4O24,-2.113,-5.3154,0,0.678,0,-2.324491072
Pr8Mn1Co7O24,-2.323,-6.018,0,0,26.23033875,-1.815721029
Pr8Mn2Co6O24,-2.281,-5.8775,0,0,29.3008151,-1.86018929
Pr8Co7Ni1O24,-2.471,-6.5132,0,0,32.97595651,-1.736409128
Pr8Co6Ni2O24,-2.205,-5.6232,0.55,0.629,28.05755061,-1.716299987
Pr8Co4Ni4O24,-2.008,-4.9641,0,0,95.33248881,-1.598969956
Pr8Co8O24,-2.218,-5.6667,0,0,22.41961241,-1.771993019
Ba2Pr6Cr8O24,-2.152,-5.4459,0,0,33.65498379,-2.125968031
Ba4Pr4Cr8O24,-2.033,-5.0477,0.173,0.201,100.4401946,-1.955067232
Ca2Pr6Cr8O24,-2.057,-5.128,0,0,13.89243768,-2.16896417
Ca4Pr4Cr8O24,-2.144,-5.4191,0.344,0.372,51.42310236,-2.050551511
Pr6Dy2Cr8O24,-2.094,-5.2518,2.095,2.123,0,-2.318581142
Pr4Dy4Cr8O24,-2.044,-5.0845,2.141,2.198,9.106651,-2.342747454
Pr6Gd2Cr8O24,-3.607,-10.314,0.74,0.795,0,-2.735942163
Pr4Gd4Cr8O24,-3.735,-10.7423,0.631,0.686,0,-2.744937497
Pr6Ho2Cr8O24,-2.102,-5.2786,2.098,2.126,0,-2.318606713
Pr4Ho4Cr8O24,-2.048,-5.0979,2.144,2.2,10.51108275,-2.344133596
Pr6Nd2Cr8O24,-2.075,-5.1882,2.063,2.119,0,-2.304925632
Pr4Nd4Cr8O24,-2.043,-5.0812,2.071,2.127,1.40097275,-2.309149684
Pr6Sm2Cr8O24,-2.089,-5.2351,2.065,2.121,0,-2.309818742
Pr4Sm4Cr8O24,-2.042,-5.0778,2.101,2.157,0,-2.320202654
Sr2Pr6Cr8O24,-2.213,-5.65,0,0,12.16553242,-2.161769337
Sr4Pr4Cr8O24,-2.053,-5.1146,0.346,0.375,54.46754183,-2.029663595
Pr8Cr7Co1O24,-2.133,-5.3823,0.528,0.584,0,-2.232326947
Pr8Cr6Co2O24,-2.165,-5.4894,0.501,0.557,0,-2.164235314
Pr8Cr7Fe1O24,-2.088,-5.2317,2.052,2.087,0,-2.272338482
Pr8Cr6Fe2O24,-2.052,-5.1113,1.947,2.018,0,-2.243385385
Pr8Mg1Cr7O24,-3.17,-8.8519,0,0.715,0,-2.710262835
Pr8Mg2Cr6O24,-3.053,-8.4604,0,0.662,0,-2.692390091
Pr8Mg4Cr4O24,-2.671,-7.1823,0,1.089,0,-2.644188102
Pr8Mn1Cr7O24,-2.651,-7.1154,0.25,0.281,0,-2.273314707
Pr8Mn2Cr6O24,-2.528,-6.7039,0.377,0.408,0,-2.247286335
Pr8Mn4Cr4O24,-2.491,-6.5801,0.409,0.441,21.5174731,-2.197713091
Pr8Cr7Ni1O24,-2.193,-5.583,0.156,0.195,0,-2.202056806
Pr8Cr6Ni2O24,-2.2,-5.6065,0.314,0.353,0,-2.107100283
Pr8Cr4Ni4O24,-1.775,-4.1845,0.862,0.901,18.44019411,-1.910525237
Pr8Cr8O24,-2.12,-5.3388,2.055,2.083,0,-2.30090658
Ba2Pr6Fe8O24,-1.731,-4.0373,0,1.012,58.88531967,-1.881720753
Ba4Pr4Fe8O24,-1.537,-3.3882,0,0,78.18172235,-1.716439704
Ca2Pr6Fe8O24,-1.813,-4.3116,0,1.078,55.47285962,-1.918872892
Ca4Pr4Fe8O24,-1.767,-4.1577,0,0,72.01080223,-1.790089983
Pr6Dy2Fe8O24,-1.968,-4.8302,1.268,1.341,51.23881538,-2.058635364
Pr4Dy4Fe8O24,-1.904,-4.6161,1.316,1.389,51.31971375,-2.081837926
Pr6Gd2Fe8O24,-3.367,-9.511,0,0,0,-2.479007635
Pr4Gd4Fe8O24,-3.237,-9.0761,0,0,0,-2.497581719
Pr6Ho2Fe8O24,-1.957,-4.7934,1.27,1.342,52.56517063,-2.058550185
Pr4Ho4Fe8O24,-1.907,-4.6261,1.317,1.39,52.52667425,-2.083113318
Pr6Nd2Fe8O24,-1.97,-4.8369,1.264,1.336,44.84888738,-2.045795104
Pr4Nd4Fe8O24,-1.859,-4.4655,1.29,1.327,44.92360775,-2.049773656
Pr6Sm2Fe8O24,-1.954,-4.7834,1.265,1.337,47.14197338,-2.050318714
Pr4Sm4Fe8O24,-1.85,-4.4354,1.289,1.363,48.18377975,-2.060146876
Sr2Pr6Fe8O24,-1.747,-4.0908,0,1.05,48.37559255,-1.913998059
Sr4Pr4Fe8O24,-1.679,-3.8633,0,0,58.54651811,-1.779610067
Pr8Fe7Co1O24,-2.14,-5.4057,0,0,45.52619143,-2.004542266
Pr8Fe6Co2O24,-2.07,-5.1715,0,0,47.92046585,-1.965625731
Pr8Cr1Fe7O24,-2.127,-5.3622,1.292,1.364,30.80780525,-2.077926399
Pr8Cr2Fe6O24,-2.15,-5.4392,1.326,1.434,17.0719435,-2.113805746
Pr8Cr4Fe4O24,-2.021,-5.0076,1.889,1.924,0,-2.185639191
Pr8Mg1Fe7O24,-3.07,-8.5173,0,0,0,-2.488289155
Pr8Mg2Fe6O24,-3.015,-8.3333,0,0,0,-2.487173007
Pr8Mg4Fe4O24,-2.795,-7.5972,0,0.311,0,-2.501720963
Pr8Mn1Fe7O24,-2.698,-7.2727,0.432,0.468,48.10016777,-2.049507027
Pr8Mn2Fe6O24,-2.719,-7.3429,0.36,0.396,50.94866855,-2.057675002
Pr8Fe7Ni1O24,-1.834,-4.3819,0,1.23,47.54553553,-1.977495376
Pr8Fe6Ni2O24,-1.834,-4.3819,0,1.032,54.07340405,-1.9094177
Pr8Fe4Ni4O24,-1.796,-4.2548,0,1.272,69.81139111,-1.770580098
Pr8Fe8O24,-2.065,-5.1548,1.257,1.328,44.549417,-2.042041302
Ba2Pr6Ga8O24,-1.206,-2.2807,0,3.07,155.4650781,-2.022670188
Ba4Pr4Ga8O24,-1.168,-2.1536,0,2.709,234.8007094,-1.827519139
Ca2Pr6Ga8O24,-1.174,-2.1737,0,3.422,132.7738634,-2.055867827
Ca4Pr4Ga8O24,-1.203,-2.2707,0,0,204.0999935,-1.885898668
Pr6Dy2Ga8O24,-1.336,-2.7157,3.28,3.327,75.46581208,-2.240777549
Pr4Dy4Ga8O24,-1.244,-2.4079,3.316,3.363,90.00434745,-2.264112111
Pr6Gd2Ga8O24,-1.467,-3.154,3.023,3.051,67.74394496,-2.23300882
Pr4Gd4Ga8O24,-1.526,-3.3514,3.119,3.146,78.35022953,-2.244852154
Pr6Ho2Ga8O24,-1.354,-2.7759,3.259,3.306,76.75772521,-2.24062587
Pr4Ho4Ga8O24,-1.245,-2.4112,3.322,3.369,91.38113959,-2.265334753
Pr6Nd2Ga8O24,-1.346,-2.7491,3.296,3.32,64.51928629,-2.228123789
Pr4Nd4Ga8O24,-1.225,-2.3443,3.288,3.312,74.56373534,-2.232121591
Pr6Sm2Ga8O24,-1.336,-2.7157,3.306,3.332,69.47703167,-2.232635899
Pr4Sm4Ga8O24,-1.216,-2.3142,3.318,3.344,82.92662983,-2.242498561
Sr2Pr6Ga8O24,-1.151,-2.0967,0,3.324,135.9918852,-2.052149994
Sr4Pr4Ga8O24,-1.15,-2.0934,0,3.156,202.3935915,-1.881115752
Pr8Ga7Co1O24,-1.818,-4.3284,0.947,1.017,56.54071259,-2.165378709
Pr8Ga6Co2O24,-1.888,-4.5626,0.833,0.879,60.63163558,-2.106708182
Pr8Ga4Co4O24,-1.931,-4.7064,0.785,0.854,66.64638295,-1.989848128
Pr8Cr1Ga7O24,-1.809,-4.2983,3.175,3.232,44.20322781,-2.234695842
Pr8Cr2Ga6O24,-1.955,-4.7867,2.696,2.752,38.12301463,-2.244862197
Pr8Cr4Ga4O24,-2.101,-5.2752,2.409,2.465,26.27533825,-2.264882158
Pr8Ga7Fe1O24,-1.657,-3.7897,2.497,2.568,46.33040675,-2.204954745
Pr8Ga6Fe2O24,-1.736,-4.054,2.356,2.428,43.1541225,-2.184603253
Pr8Ga4Fe4O24,-1.737,-4.0574,2.109,2.216,37.473804,-2.143228019
Pr8Mg1Ga7O24,-1.152,-2.1001,0,3.699,82.66465971,-2.227341098
Pr8Mg2Ga6O24,-1.14,-2.0599,0,3.957,110.0520061,-2.227164959
Pr8Mg4Ga4O24,-1.114,-1.9729,0,4.782,157.1583264,-2.226499431
Pr8Mn1Ga7O24,-2.462,-6.4831,0.853,0.885,54.66615752,-2.20763547
Pr8Mn2Ga6O24,-2.426,-6.3626,0.728,0.76,58.73687405,-2.191053453
Pr8Mn4Ga4O24,-2.415,-6.3258,0.789,0.821,58.3323071,-2.166435419
Pr8Ga7Ni1O24,-1.709,-3.9637,0,0,76.83212346,-2.125565069
Pr8Ga6Ni2O24,-1.742,-4.0741,0.119,0.119,97.08889055,-2.025701151
Pr8Ga4Ni4O24,-1.747,-4.0908,0,1.788,129.9767594,-1.826407565
Pr8Ga8O24,-1.449,-3.0938,3.254,3.277,50.298441,-2.224514487
Ba2Pr6Mn8O24,-2.441,-6.4128,0,0,51.30901636,-2.003141803
Ca2Pr6Mn8O24,-2.528,-6.7039,0,0,33.27336669,-2.038203692
Ca4Pr4Mn8O24,-2.241,-5.7436,0,0,37.03306019,-1.931198533
Pr6Dy2Mn8O24,-2.394,-6.2555,0,0,50.70809969,-2.152588664
Pr4Dy4Mn8O24,-2.408,-6.3024,0,0.128,56.73302619,-2.175137976
Pr6Gd2Mn8O24,-3.633,-10.401,0,0,0,-2.523653436
Pr4Gd4Mn8O24,-3.674,-10.5382,0,0,0,-2.531133269
Pr6Ho2Mn8O24,-2.404,-6.289,0,0,53.39027919,-2.152436485
Pr4Ho4Mn8O24,-2.41,-6.3091,0,0.127,60.86288519,-2.176068118
Pr6Nd2Mn8O24,-2.355,-6.1251,0,0,39.54298544,-2.139384154
Pr4Nd4Mn8O24,-2.303,-5.9511,0,0,39.69329769,-2.143438456
Pr6Sm2Mn8O24,-2.375,-6.192,0,0,41.66452682,-2.144154264
Pr4Sm4Mn8O24,-2.328,-6.0347,0,0,42.81588044,-2.154099176
Sr2Pr6Mn8O24,-2.473,-6.5199,0,0.221,28.24964357,-2.034456609
Sr4Pr4Mn8O24,-1.979,-4.867,0,0,34.01111394,-1.916678867
Pr8Mn7Co1O24,-2.421,-6.3459,0,0.126,41.29569684,-2.085888092
Pr8Mn6Co2O24,-2.57,-6.8444,0,0,45.2879705,-2.034357081
Pr8Mn4Co4O24,-2.186,-5.5596,0.797,0.828,0,-1.98915206
Pr8Mn7Cr1O24,-2.495,-6.5935,0,0,34.25106067,-2.151598474
Pr8Mn6Cr2O24,-2.538,-6.7373,0,0,31.35144814,-2.165625096
Pr8Mn7Fe1O24,-2.495,-6.5935,0,0.107,40.76042242,-2.122945627
Pr8Mn6Fe2O24,-2.498,-6.6035,0,0.107,44.32442164,-2.108365152
Pr8Mn4Fe4O24,-2.812,-7.6541,0.323,0.358,52.0549201,-2.078601702
Pr8Mg1Mn7O24,-3.514,-10.0028,0,0,0,-2.53347223
Pr8Mg2Mn6O24,-3.4,-9.6214,0,0,0,-2.548548858
Pr8Mg4Mn4O24,-2.024,-5.0176,1.51,1.573,0,-2.589963113
Pr8Mn7Ni1O24,-2.378,-6.202,0,0,65.03154095,-2.037124701
Pr8Mn6Ni2O24,-2.433,-6.386,0,0,18.9559087,-2.01063405
Pr8Mn8O24,-2.446,-6.4295,0,0,39.20792319,-2.135514602
Ba2Pr6Ni8O24,-1.501,-3.2677,0,0,162.8921755,-1.281903845
Ba4Pr4Ni8O24,-1.351,-2.7659,0,0,214.3641691,-1.077502796
Ca2Pr6Ni8O24,-1.636,-3.7194,0,0.519,169.7197653,-1.320515234
Ca4Pr4Ni8O24,-1.471,-3.1674,0,0,224.4021653,-1.161875575
Pr6Dy2Ni8O24,-1.579,-3.5287,0,0,138.7581733,-1.490018706
Pr4Dy4Ni8O24,-1.496,-3.251,0,0,150.5629815,-1.512798518
Pr6Gd2Ni8O24,-2.588,-6.9046,0,1.378,0,-2.121985727
Pr4Gd4Ni8O24,-2.671,-7.1823,0,0,0,-2.133295061
Pr6Ho2Ni8O24,-1.573,-3.5086,0,0,141.4711659,-1.490040777
Pr4Ho4Ni8O24,-1.499,-3.2611,0,1.085,154.6974666,-1.51413416
Pr6Nd2Ni8O24,-1.582,-3.5388,0,0.917,122.9802402,-1.476968696
Pr4Nd4Ni8O24,-1.49,-3.2309,0,0.959,124.7298651,-1.480975748
Pr6Sm2Ni8O24,-1.556,-3.4518,0,0,128.3861288,-1.481569056
Pr4Sm4Ni8O24,-1.466,-3.1506,0,1.041,134.6716424,-1.491046468
Sr2Pr6Ni8O24,-1.534,-3.3782,0,0,152.4294293,-1.314848901
Sr4Pr4Ni8O24,-1.365,-2.8127,0,0.322,195.4429933,-1.144921409
Pr8Co1Ni7O24,-1.84,-4.402,0,0,102.1512711,-1.517068534
