Material composition,O p-band center (eV),Predicted Log k* (cm/s),Bandgap (eV),Charge transfer gap (eV),Energy above convex hull (meV/atom),Formation energy (eV/atom)
Ba8Hf2Fe6O24,-1.209,-2.2908,0,0.584,71.44563177,-1.809359333
Ba8Hf4Fe4O24,-1.171,-2.1636,0,1.982,63.36273585,-2.195595061
Ba8Ir8O24,-2.789,-7.5771,0,0,163.2978649,-1.077299988
Ba8Fe7Ir1O24,-1.342,-2.7358,0,0.514,32.0094037,-1.441287185
Ba8Fe6Ir2O24,-1.577,-3.522,0,0.367,0,-1.445805264
Ba8Fe4Ir4O24,-2.219,-5.67,0,0.402,0,-1.416635672
Ba8Mo8O24,-3.46,-9.8222,0.455,0.503,643.729766,-1.164179822
Ba8Fe7Mo1O24,-1.248,-2.4213,0,0.33,127.6818842,-1.464524883
Ba8Fe6Mo2O24,-1.601,-3.6023,0,0,179.2587231,-1.50189466
Ba8Fe4Mo4O24,-2.478,-6.5366,0.507,0.544,347.3831,-1.442927714
Ba8Nb8O24,-4.492,-13.275,0,0,7.667046,-2.393729562
Ba8Nb1Fe7O24,-1.213,-2.3042,0,0,69.43614177,-1.599627038
Ba8Nb2Fe6O24,-1.253,-2.438,0,0,57.32200585,-1.77815222
Ba8Os8O24,-3.533,-10.0664,0,0.179,92.45610791,-1.258923595
Ba8Fe7Os1O24,-1.681,-3.87,0,0.441,34.7342257,-1.502512229
Ba8Fe6Os2O24,-2.067,-5.1615,0,0,29.45910878,-1.538052103
Ba8Fe4Os4O24,-2.644,-7.092,0,0,0,-1.52134385
Ba8Pd8O24,-1.694,-3.9135,0,0,90.40683362,-0.924098966
Ba8Fe7Pd1O24,-1.209,-2.2908,0,0,75.87824454,-1.369289151
Ba8Fe6Pd2O24,-1.275,-2.5116,0,0,69.28696139,-1.318395696
Ba8Fe4Pd4O24,-1.414,-2.9767,0,0.29,41.60128787,-1.224044786
Ba8Pt8O24,-2.2,-5.6065,0,0,156.6279303,-0.93345629
Ba8Fe7Pt1O24,-1.28,-2.5283,0,0.331,63.68903168,-1.395415004
Ba8Fe6Pt2O24,-1.458,-3.1239,0,0.11,49.34328566,-1.366212652
Ba8Fe4Pt4O24,-1.799,-4.2648,0,0,9.796766169,-1.309194198
Ba8Re8O24,-4.541,-13.439,0,0,158.2186323,-1.577268173
Ba8Fe7Re1O24,-1.378,-2.8562,0,0,30.40327127,-1.573339364
Ba8Fe6Re2O24,-2.363,-6.1518,0,0,5.900961165,-1.689878372
Ba8Fe4Re4O24,-3.439,-9.7519,0,1.467,0.678471,-1.762229139
Ba8Rh8O24,-2.073,-5.1815,0,0,114.525327,-1.139415902
Ba8Fe7Rh1O24,-1.188,-2.2205,0,0,56.15299875,-1.417007799
Ba8Fe6Rh2O24,-1.362,-2.8027,0,0.11,36.52821981,-1.407141242
Ba8Fe4Rh4O24,-1.637,-3.7228,0,0.44,7.487661938,-1.377199129
Ba8Ru8O24,-2.764,-7.4935,0,0,56.67383667,-1.357476705
Ba8Fe7Ru1O24,-1.457,-3.1205,0,0.478,36.36319225,-1.466450649
Ba8Fe6Ru2O24,-1.64,-3.7328,0,0,12.9458568,-1.490029693
Ba8Fe4Ru4O24,-1.967,-4.8269,0,0,0,-1.51299853
Ba8Ta8O24,-5.225,-15.7275,0,0,50.0993,-2.482716948
Ba8Ta1Fe7O24,-1.225,-2.3443,0,0,54.29203205,-1.627573211
Ba8Ta2Fe6O24,-1.282,-2.535,0,0,27.31353641,-1.833764816
Ba8Ta4Fe4O24,-1.596,-3.5856,1.672,1.744,0,-2.254287527
Ba8Tc8O24,-3.576,-10.2103,0,0,15.621525,-1.675769347
Ba8Fe7Tc1O24,-1.35,-2.7625,0,0.367,0,-1.545820105
Ba8Fe6Tc2O24,-2.071,-5.1749,0,0.365,0,-1.636077103
Ba8Fe4Tc4O24,-2.775,-7.5303,0,0,0,-1.710742351
Ba8Y8O24,-0.988,-1.5514,0,4.456,141.6647515,-2.338811432
Ba8Y1Fe7O24,-1.222,-2.3343,0,0,73.80231391,-1.554715959
Ba8Y2Fe6O24,-1.232,-2.3677,0,0,63.15129713,-1.691098562
Ba8Y4Fe4O24,-1.386,-2.883,0,0.606,64.50496061,-1.941073519
Ba8Zn8O24,-1.043,-1.7354,0,0,357.1607288,-1.016693432
Ba8Zn1Fe7O24,-1.127,-2.0164,0,0.184,101.7979903,-1.384754396
Ba8Zn2Fe6O24,-1.093,-1.9027,0,0,128.576453,-1.341876187
Ba8Zn4Fe4O24,-1.036,-1.7119,0,0,197.4213782,-1.240831769
Ba8Zn6Fe2O24,-1.135,-2.0432,0,0.969,261.7248035,-1.14432885
Ba8Zr8O24,-1.414,-2.9767,2.994,3.054,0,-2.92152626
Ba8Zr1Fe7O24,-1.213,-2.3042,0,0.44,64.66274573,-1.608532844
Ba8Zr2Fe6O24,-1.232,-2.3677,0,0.582,53.57771377,-1.790161332
Ba8Zr3Fe5O24,-1.2,-2.2607,0,1.015,40.02993181,-1.97425257
