Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
Ni1K1F3,3.333,220.760,-1.779
I3Ni1K1,0.410,355.069,-0.200
K1Sn1Br3,1.337,61.255,-0.923
K1Sn1Cl3,1.722,67.985,-1.075
K1Sn1F3,3.416,134.372,-2.143
I3K1Sn1,1.078,89.914,-0.672
Sr1K1Br3,4.029,74.764,-1.726
Sr1K1Cl3,4.658,75.560,-1.947
Sr1K1F3,5.522,138.260,-3.060
I3Sr1K1,3.533,83.888,-1.409
K1Zn1Br3,1.064,144.698,-0.928
K1Zn1Cl3,1.786,142.329,-1.103
K1Zn1F3,3.953,76.534,-2.222
I3K1Zn1,0.181,178.424,-0.656
Pb1K1Br3,2.230,74.559,-1.000
Pb1K1Cl3,2.694,78.343,-1.158
Pb1K1F3,3.752,129.110,-2.140
Pb1I3K1,1.790,134.492,-0.735
Ba1Br3Li1,3.800,196.668,-1.567
Cl3Ba1Li1,4.355,223.973,-1.781
F3Ba1Li1,5.825,238.881,-3.005
I3Ba1Li1,3.069,211.006,-1.227
Be1Br3Li1,4.668,41.429,-1.017
Be1Cl3Li1,5.866,54.130,-1.275
Be1F3Li1,7.746,60.188,-2.844
I3Be1Li1,3.540,45.156,-0.663
Ca1Br3Li1,3.720,158.961,-1.501
Ca1Cl3Li1,4.525,162.438,-1.747
Ca1F3Li1,5.966,218.517,-3.065
I3Ca1Li1,3.119,183.025,-1.164
Cd1Br3Li1,1.870,168.455,-0.793
Cl3Cd1Li1,2.637,162.793,-0.964
F3Cd1Li1,3.285,284.042,-1.953
I3Cd1Li1,1.195,167.284,-0.547
Co1Br3Li1,2.164,0.000,-0.696
Cl3Co1Li1,1.530,26.704,-0.765
F3Co1Li1,2.597,187.203,-1.982
I3Co1Li1,1.481,32.473,-0.417
Br3Cu1Li1,0.016,209.130,-0.405
Cl3Cu1Li1,0.118,186.216,-0.578
F3Cu1Li1,0.011,207.631,-1.617
I3Cu1Li1,0.027,280.603,-0.186
Fe1Br3Li1,1.936,0.000,-0.694
Cl3Fe1Li1,2.450,372.998,-0.526
F3Fe1Li1,4.034,611.817,-1.766
I3Fe1Li1,2.458,0.000,-0.508
Ge1Br3Li1,1.813,111.196,-0.663
Ge1Cl3Li1,2.068,109.516,-0.825
Ge1F3Li1,3.640,238.559,-1.957
I3Ge1Li1,1.545,133.676,-0.432
Mg1Br3Li1,2.554,185.427,-1.151
Mg1Cl3Li1,4.094,160.968,-1.430
Mg1Cl3Li1,6.182,0.000,-2.894
I3Mg1Li1,1.879,188.353,-0.810
Mn1Br3Li1,2.511,37.659,-0.880
Cl3Mn1Li1,2.573,19.354,-1.107
F3Mn1Li1,2.399,802.302,-1.726
I3Mn1Li1,0.752,85.650,-0.547
Ni1Br3Li1,1.349,320.186,-0.326
Ni1Cl3Li1,1.814,270.039,-0.548
Ni1F3Li1,3.098,357.130,-1.664
I3Ni1Li1,1.258,312.404,-0.137
Sn1Br3Li1,1.553,165.512,-0.731
Cl3Sn1Li1,2.026,163.688,-0.903
F3Sn1Li1,3.492,281.427,-2.007
I3Sn1Li1,1.262,154.186,-0.502
Sr1Br3Li1,3.729,178.555,-1.543
Sr1Cl3Li1,4.256,209.522,-1.754
Sr1F3Li1,5.680,254.128,-3.034
I3Sr1Li1,3.254,167.405,-1.220
Zn1Br3Li1,1.812,199.917,-0.775
Zn1Cl3Li1,2.743,174.480,-0.982
Zn1F3Li1,4.334,205.547,-2.101
I3Zn1Li1,2.894,67.464,-0.662
Pb1Br3Li1,2.621,187.146,-0.802
Pb1Cl3Li1,2.542,181.653,-0.983
Pb1F3Li1,4.233,106.072,-2.253
Pb1I3Li1,2.117,194.113,-0.570
Na1Ba1Br3,3.333,170.778,-1.599
Na1Ba1Cl3,3.916,206.445,-1.798
Na1Ba1F3,4.255,305.678,-2.849
I3Na1Ba1,2.776,151.182,-1.304
Na1Br3Be1,4.497,50.432,-1.013
Na1Cl3Be1,5.443,30.173,-1.299
Na1F3Be1,6.186,193.077,-2.646
I3Na1Be1,3.446,65.686,-0.659
Na1Ca1Br3,3.708,101.042,-1.564
Na1Ca1Cl3,4.469,99.857,-1.809
Na1Ca1F3,5.353,186.240,-3.008
I3Na1Ca1,3.149,133.696,-1.230
Na1Br3Cd1,2.792,71.522,-0.896
Na1Cl3Cd1,1.973,140.426,-0.988
Na1F3Cd1,3.195,167.723,-1.990
I3Na1Cd1,2.450,65.370,-0.666
Na1Co1Br3,1.502,0.260,-0.606
Na1Co1Cl3,1.873,0.000,-0.811
Na1Co1F3,1.440,303.938,-1.800
I3Na1Co1,1.579,31.879,-0.434
Na1Br3Cu1,0.163,183.906,-0.436
Na1Cu1Cl3,0.169,155.815,-0.608
Na1Cu1F3,0.012,146.498,-1.633
I3Na1Cu1,0.013,279.535,-0.204
Na1Fe1Br3,1.896,0.000,-0.723
Na1Fe1Cl3,3.049,0.000,-0.962
Na1Fe1F3,2.363,154.138,-2.150
I3Na1Fe1,1.376,27.145,-0.439
Na1Ge1Br3,1.807,74.005,-0.706
Na1Ge1Cl3,2.211,59.112,-0.875
Na1Ge1F3,4.379,86.655,-2.086
I3Na1Ge1,1.153,180.843,-0.401
Na1Mg1Br3,2.681,144.472,-1.197
Na1Mg1Cl3,4.314,120.463,-1.465
Na1Mg1F3,6.126,87.058,-2.897
I3Na1Mg1,1.212,173.509,-0.842
Na1Mn1Br3,1.839,5.567,-0.918
Na1Mn1Cl3,2.679,0.000,-1.154
Na1Mn1F3,2.062,708.897,-1.746
I3Na1Mn1,0.794,49.814,-0.600
Na1Br3Ni1,1.409,273.479,-0.378
Na1Cl3Ni1,2.202,214.034,-0.603
Na1F3Ni1,4.478,132.671,-1.825
I3Na1Ni1,0.644,390.739,-0.075
Na1Sn1Br3,1.558,102.029,-0.800
Na1Sn1Cl3,1.952,116.535,-0.957
Na1Sn1F3,3.648,188.069,-2.046
I3Na1Sn1,1.276,101.605,-0.571
Na1Br3Sr1,3.524,126.542,-1.600
Na1Cl3Sr1,4.192,138.391,-1.824
Na1F3Sr1,4.806,245.745,-2.953
I3Na1Sr1,2.997,122.274,-1.282
Na1Zn1Br3,1.417,180.972,-0.810
Na1Zn1Cl3,2.486,159.687,-1.014
Na1Zn1F3,3.654,125.320,-2.124
I3Na1Zn1,2.859,71.502,-0.675
Pb1Na1Br3,2.358,117.051,-0.877
Pb1Na1Cl3,2.758,127.567,-1.036
Pb1Na1F3,3.691,234.352,-2.036
Pb1Na1I3,2.087,142.568,-0.639
Br3Ba1Rb1,3.962,77.681,-1.766
Ba1Rb1Cl3,4.522,96.690,-1.963
Ba1Rb1F3,4.931,143.117,-2.987
I3Ba1Rb1,3.490,82.847,-1.468
Be1Br3Rb1,4.179,7.096,-1.131
Be1Rb1Cl3,5.112,0.000,-1.406
Be1Rb1F3,6.522,130.211,-2.751
I3Be1Rb1,3.132,57.211,-0.763
Ca1Br3Rb1,4.241,39.383,-1.731
Ca1Rb1Cl3,5.108,25.936,-1.971
Ca1Rb1F3,6.542,51.320,-3.152
I3Ca1Rb1,3.591,65.725,-1.394
Br3Rb1Cd1,1.065,83.744,-0.974
Cl3Rb1Cd1,2.057,60.426,-1.151
F3Rb1Cd1,3.409,74.765,-2.116
I3Rb1Cd1,0.538,106.912,-0.720
Co1Br3Rb1,1.395,0.000,-0.745
Co1Rb1Cl3,1.758,0.000,-0.963
Co1Rb1F3,2.608,53.407,-2.073
I3Co1Rb1,1.468,28.051,-0.533
Br3Cu1Rb1,0.140,86.970,-0.608
Cu1Rb1Cl3,0.165,93.397,-0.757
Cu1Rb1F3,0.023,118.746,-1.701
I3Cu1Rb1,0.007,179.882,-0.399
Br3Fe1Rb1,1.988,0.000,-0.898
Fe1Rb1Cl3,3.015,0.000,-1.128
Fe1Rb1F3,4.103,404.725,-1.860
I3Fe1Rb1,0.816,0.000,-0.583
Ge1Br3Rb1,1.393,41.999,-0.861
Ge1Rb1Cl3,1.747,53.117,-1.019
Ge1Rb1F3,4.010,121.611,-2.101
I3Ge1Rb1,1.241,50.134,-0.628
Mg1Br3Rb1,2.850,45.369,-1.371
Mg1Rb1Cl3,4.312,36.130,-1.633
Mg1Rb1F3,7.134,55.567,-2.941
I3Mg1Rb1,1.429,91.211,-1.020
Mn1Br3Rb1,1.869,0.000,-1.091
Mn1Rb1Cl3,2.768,0.000,-1.319
Mn1Rb1F3,2.964,657.702,-1.844
I3Mn1Rb1,0.923,0.000,-0.776
Ni1Br3Rb1,0.842,314.245,-0.412
Ni1Rb1Cl3,2.141,162.085,-0.743
Ni1Rb1F3,4.420,93.369,-1.883
I3Ni1Rb1,0.443,322.289,-0.239
Br3Sn1Rb1,1.254,55.328,-0.954
Sn1Rb1Cl3,1.485,57.319,-1.107
Sn1Rb1F3,3.434,99.132,-2.157
I3Sn1Rb1,1.051,72.485,-0.723
Sr1Br3Rb1,4.084,41.330,-1.760
Sr1Rb1Cl3,4.768,47.327,-1.977
Sr1Rb1F3,5.783,95.990,-3.078
I3Sr1Rb1,3.476,67.457,-1.433
Zn1Br3Rb1,0.854,139.205,-0.944
Zn1Rb1Cl3,1.970,117.966,-1.139
Zn1Rb1F3,3.801,105.440,-2.172
I3Zn1Rb1,0.176,172.631,-0.686
Pb1Br3Rb1,2.109,73.310,-1.028
Pb1Rb1Cl3,2.637,61.555,-1.190
Pb1Rb1F3,3.746,89.940,-2.176
Pb1I3Rb1,1.814,94.737,-0.787
Cs1Pb1I3,1.828,63.997,-0.853
H5C1Ba1Br3N2,3.528,101.550,-0.452
H5C1Cl3Ba1N2,3.961,113.235,-0.528
H5C1F3Ba1N2,4.431,209.956,-0.924
I3H5C1Ba1N2,2.994,90.044,-0.336
Be1C1N2Br3H5,4.056,78.308,-0.185
Be1C1N2Cl3H5,4.718,57.820,-0.302
Be1C1N2F3H5,5.149,113.228,-0.871
I3Be1C1N2H5,3.370,106.557,-0.047
H5Ca1C1Br3N2,3.857,97.338,-0.413
H5Ca1Cl3C1N2,4.366,107.471,-0.494
H5Ca1F3C1N2,4.837,172.827,-0.977
I3H5Ca1C1N2,3.130,95.743,-0.292
H5C1N2Br3Cd1,1.714,101.609,-0.117
H5C1N2Cl3Cd1,2.560,106.279,-0.173
H5C1N2F3Cd1,3.128,162.390,-0.552
I3H5C1N2Cd1,0.412,124.126,0.000
H5C1Co1Br3N2,2.075,23.357,-0.057
H5C1Cl3Co1N2,2.494,12.603,-0.133
H5C1F3Co1N2,0.535,1799.274,1.110
I3H5C1Co1N2,1.543,66.065,0.049
H5C1Br3Cu1N2,0.004,148.844,0.063
H5C1Cl3Cu1N2,0.004,125.851,-0.010
H5C1F3Cu1N2,0.559,252.064,-0.360
I3H5C1Cu1N2,0.105,154.824,0.130
H5C1Fe1Br3N2,2.518,36.037,-0.077
H5C1Cl3Fe1N2,3.133,31.312,-0.153
H5C1F3Fe1N2,4.032,346.404,-0.427
I3H5C1Fe1N2,2.448,41.128,0.023
H5Ge1C1Br3N2,2.202,68.195,-0.075
H5Ge1Cl3C1N2,2.809,59.713,-0.138
H5Ge1F3C1N2,4.078,81.065,-0.613
I3H5Ge1C1N2,1.616,79.207,0.017
H5Mg1Cl3C1N2,4.054,104.650,-0.362
H5Mg1Cl3C1N2,4.044,104.490,-0.362
H5Mg1F3C1N2,4.672,169.296,-0.882
I3H5Mg1C1N2,1.798,101.777,-0.141
H5C1Mn1Br3N2,2.308,47.845,-0.153
H5C1Mn1Cl3N2,3.047,39.533,-0.233
H5C1Mn1F3N2,3.121,160.525,-0.675
I3H5C1Mn1N2,1.402,51.698,-0.039
Ni1C1N2Br3H5,1.936,160.394,0.064
Ni1C1N2Cl3H5,2.422,142.735,-0.012
Ni1C1N2F3H5,3.880,208.245,-0.425
I3Ni1C1N2H5,1.328,186.518,0.169
H5C1Sn1Br3N2,1.411,88.041,-0.104
H5C1Cl3Sn1N2,1.843,93.552,-0.157
H5C1F3Sn1N2,3.544,129.123,-0.607
I3H5C1Sn1N2,1.128,82.490,-0.018
Sr1C1N2Br3H5,3.701,91.653,-0.444
Sr1C1N2Cl3H5,4.181,100.925,-0.523
Sr1C1N2F3H5,4.708,225.565,-0.927
I3Sr1C1N2H5,3.097,83.543,-0.321
H5Zn1C1Br3N2,3.522,92.290,-0.132
H5Zn1Cl3C1N2,3.938,80.128,-0.214
H5Zn1F3C1N2,3.683,167.433,-0.576
I3H5Zn1C1N2,2.942,96.694,-0.034
Pb1I3C1H5N2,1.814,96.607,-0.049
Pb1H5C1Br3N2,2.183,91.257,-0.139
Pb1H5C1N2Cl3,2.572,95.211,-0.196
Pb1H5C1N2F3,3.692,160.579,-0.605
Cs4I24K4Ca1Ba1,3.822,0.000,-2.086
Cs4I24K4Ba1Cd1,2.302,0.000,-1.603
Cs4I24K4Ba1Cu1,0.001,0.000,-1.691
Cs4I24K4Ge1Ba1,2.819,0.000,-1.833
Cs4I24K4Mg1Ba1,3.233,0.000,-1.820
Cs4Pb1K4I24Ba1,3.222,0.000,-1.890
Cs4I24K4Sn1Ba1,2.818,0.000,-1.865
Cs4Sr1K4I24Ba1,3.755,0.000,-2.090
Cs4I24K4Zn1Ba1,3.104,0.000,-1.641
Cs4I24Ca1Ba1Rb4,3.682,0.000,-2.080
Cs4I24Ba1Rb4Cd1,2.278,0.000,-1.593
Cs4I24Cu1Rb4Ba1,0.053,0.000,-1.685
Cs4I24Ge1Ba1Rb4,2.918,0.000,-1.820
Cs4I24Mg1Ba1Rb4,3.313,0.000,-1.812
Cs4Pb1I24Ba1Rb4,3.216,0.000,-1.907
Cs4I24Sn1Rb4Ba1,2.805,0.000,-1.884
Cs4Sr1I24Ba1Rb4,3.659,0.000,-2.082
Cs4I24Zn1Ba1Rb4,2.101,0.000,-1.576
I24K4Ca1Rb4Ba1,3.794,0.000,-2.065
I24K4Ba1Rb4Cd1,2.388,0.000,-1.577
I24K4Cu1Rb4Ba1,0.004,0.000,-1.630
I24K4Ge1Rb4Ba1,2.883,0.000,-1.808
I24K4Mg1Rb4Ba1,3.269,0.000,-1.794
Pb1I24K4Ba1Rb4,3.219,0.000,-1.870
I24K4Sn1Rb4Ba1,2.841,0.000,-1.845
I24Sr1K4Ba1Rb4,3.845,0.000,-2.076
I24K4Zn1Rb4Ba1,2.846,0.000,-1.610
Cs8Ca1Ba1Br12Cl12,4.509,0.000,-2.585
Cs8Cl12Ba1Br12Cd1,3.618,0.000,-2.055
Cs8Br12Ba1Cu1Cl12,0.019,0.000,-2.053
Cs8Ge1Ba1Br12Cl12,3.401,0.000,-2.252
Cs8Mg1Ba1Br12Cl12,4.431,0.000,-2.338
Cs8Pb1Ba1Br12Cl12,3.939,0.000,-2.338
Cs8Cl12Sn1Br12Ba1,3.238,0.000,-2.286
Cs8Sr1Ba1Br12Cl12,4.690,0.000,-2.600
Cs8Zn1Ba1Br12Cl12,3.628,0.000,-2.048
Cs8I12Ca1Ba1Br12,3.724,0.000,-2.276
Cs8I12Ba1Br12Cd1,2.598,0.000,-1.790
Cs8I12Br12Ba4Cu4,,233.000,-1.010
Cs8I12Ge1Ba1Br12,2.902,0.000,-1.994
Cs8I12Mg1Ba1Br12,3.451,0.000,-2.016
Cs8Pb1I12Ba1Br12,3.325,0.000,-2.082
Cs8I12Sn4Br12Ba4,1.918,102.360,-1.250
Cs8Sr1I12Ba1Br12,3.943,0.000,-2.304
Cs8I12Zn1Ba1Br12,2.374,0.000,-1.764
Cs8I12Ca4Ba4Cl12,3.622,91.982,-1.718
Cs8I12Cl12Ba1Cd1,2.671,0.000,-1.884
Cs8I12Ba1Cu1Cl12,0.005,0.000,-1.882
Cs8I12Ge1Ba1Cl12,3.007,0.000,-2.105
Cs8I12Mg1Ba1Cl12,3.606,0.000,-2.147
Cs8Pb1I12Ba1Cl12,3.498,0.000,-2.168
Cs8I12Cl12Sn1Ba1,3.020,0.000,-2.141
Cs8Sr1I12Ba1Cl12,3.963,0.000,-2.407
Cs8I12Zn1Ba1Cl12,3.183,0.000,-1.932
Cs4Be1K4I24Ba1,3.183,0.000,-1.837
Cs4Be1K4I24Ca1,,0.000,-1.788
Cs4Be1K4I24Cd1,2.520,0.000,-1.358
Cs4Be1K4I24Cu1,0.019,0.000,-1.434
Cs4Be1K4I24Ge1,2.566,0.000,-1.592
Cs4Be1K4I24Mg1,3.186,0.000,-1.549
Cs4Pb1K4I24Be1,2.900,0.000,-1.615
Cs4Be1K4I24Sn1,2.589,0.000,-1.610
Cs4Sr1K4I24Be1,3.563,0.000,-1.797
Cs4Be1K4I24Zn1,2.837,0.000,-1.393
Cs4Be1I24Ba1Rb4,3.191,0.000,-1.847
Cs4Be1Ca1I24Rb4,3.460,0.000,-1.783
Cs4Be1I24Rb4Cd1,2.802,0.000,-1.385
Cs4Be1I24Cu1Rb4,0.003,0.000,-1.449
Cs4Be1Ge1I24Rb4,2.594,0.000,-1.607
Cs4Be1Mg1I24Rb4,3.416,0.000,-1.572
Cs4Pb1I24Rb4Be1,2.896,0.000,-1.628
Cs4Be1I24Sn1Rb4,2.553,0.000,-1.620
Cs4Sr1I24Rb4Be1,3.786,0.000,-1.826
Cs4Be1Zn1I24Rb4,2.842,0.000,-1.397
I24Be1K4Ba1Rb4,3.143,0.000,-1.837
I24Be1K4Ca1Rb4,3.616,0.000,-1.772
I24Be1K4Rb4Cd1,2.665,0.000,-1.338
I24Be1K4Cu1Rb4,0.000,0.000,-1.403
I24Be1K4Ge1Rb4,2.632,0.000,-1.573
I24Be1K4Mg1Rb4,3.159,0.000,-1.527
Pb1Be1K4I24Rb4,2.843,0.000,-1.602
I24Be1K4Sn1Rb4,2.501,0.000,-1.592
I24Sr1K4Rb4Be1,3.752,0.000,-1.799
I24Be1K4Zn1Rb4,2.452,0.000,-1.381
Cs8Be1Ba1Br12Cl12,4.434,0.000,-2.298
Cs8Be1Ca1Br12Cl12,4.023,0.000,-2.298
Cs8Be1Cl12Br12Cd1,3.502,0.000,-1.836
Cs8Be1Br12Cu1Cl12,0.041,0.000,-1.886
Cs8Be4Ge4Br12Cl12,2.082,18.479,-1.150
Cs8Be1Mg1Br12Cl12,4.422,0.000,-2.092
Cs8Pb1Cl12Br12Be1,3.426,0.000,-2.107
Cs8Be1Sn1Br12Cl12,3.013,0.000,-2.098
Cs8Sr4Cl12Br12Be4,3.862,39.386,-1.588
Cs8Be1Zn1Br12Cl12,4.152,0.000,-1.912
Cs8Be4I12Ba4Br12,3.437,49.330,-1.329
Cs8Be1Ca1I12Br12,3.441,0.000,-1.997
Cs8Be1I12Br12Cd1,2.547,0.000,-1.532
Cs8Be1I12Br12Cu1,0.001,0.000,-1.578
Cs8Be4Ge4I12Br12,2.154,47.546,-0.886
Cs8Be4Mg4I12Br12,2.168,84.071,-1.084
Cs8Pb1I12Br12Be1,2.879,0.000,-1.816
Cs8Be1I12Sn1Br12,2.540,0.000,-1.801
Cs8Sr1I12Br12Be1,3.664,0.000,-2.000
Cs8Be1Zn1I12Br12,3.102,0.000,-1.571
Cs8Be1I12Ba1Cl12,3.441,0.000,-2.164
Cs8Be1Ca1I12Cl12,3.417,0.000,-2.127
Cs8Be1Cl12I12Cd1,2.363,0.000,-1.644
Cs8Be1I12Cu1Cl12,0.046,0.000,-1.759
Cs8Be1Ge1I12Cl12,2.728,0.000,-1.899
Cs8Be1Mg1I12Cl12,4.008,0.000,-1.890
Cs8Pb4Cl12I12Be4,2.019,117.894,-1.037
Cs8Be4I12Sn4Cl12,0.001,376.923,-0.735
Cs8Sr1Cl12I12Be1,3.300,0.000,-2.125
Cs8Be4Zn4I12Cl12,1.855,155.613,-0.988
Cs4I24K4Ca1Cd1,2.094,0.000,-1.562
Cs4I24K4Ca1Cu1,0.060,0.000,-1.624
Cs4I24K4Ca1Ge1,2.610,0.000,-1.773
Cs4I24K4Ca1Mg1,2.792,0.000,-1.761
Cs4Pb1K4I24Ca1,2.890,0.000,-1.828
Cs4I24K4Ca1Sn1,2.658,0.000,-1.806
Cs4Sr1K4I24Ca1,3.697,0.000,-2.030
Cs4I24K4Ca1Zn1,2.488,0.000,-1.582
Cs4I24Ca1Rb4Cd1,1.761,0.000,-1.561
Cs4I24Ca1Cu1Rb4,0.007,0.000,-1.612
Cs4I24Ge1Ca1Rb4,2.603,0.000,-1.797
Cs4I24Mg1Ca1Rb4,2.778,0.000,-1.785
Cs4Pb1Ca1I24Rb4,2.966,0.000,-1.844
Cs4I24Ca1Sn1Rb4,2.667,0.000,-1.826
Cs4Sr1Ca1I24Rb4,3.722,0.000,-2.049
Cs4I24Zn1Ca1Rb4,1.487,0.000,-1.545
I24K4Ca1Rb4Cd1,1.729,0.000,-1.509
I24K4Ca1Cu1Rb4,0.004,0.000,-1.601
I24K4Ca1Ge1Rb4,2.579,0.000,-1.744
I24K4Ca1Mg1Rb4,2.795,0.000,-1.732
Pb1I24K4Ca1Rb4,2.925,0.000,-1.793
I24K4Ca1Sn1Rb4,2.652,0.000,-1.774
I24Sr1K4Ca1Rb4,3.793,0.000,-2.026
I24K4Ca1Zn1Rb4,2.785,0.000,-1.575
Cs8Ca4Cl12Br12Cd4,2.257,48.683,-1.499
Cs8Ca1Br12Cu1Cl12,0.004,0.000,-2.048
Cs8Ge1Ca1Br12Cl12,3.409,0.000,-2.258
Cs8Mg1Ca1Br12Cl12,4.430,0.000,-2.337
Cs8Pb1Ca1Br12Cl12,3.891,0.000,-2.314
Cs8Ca1Sn1Br12Cl12,3.246,0.000,-2.289
Cs8Sr1Ca1Br12Cl12,4.641,0.000,-2.580
Cs8Zn1Ca1Br12Cl12,3.054,0.000,-2.041
Cs8I12Ca1Br12Cd1,1.928,0.000,-1.748
Cs8I12Ca1Br12Cu1,0.002,0.000,-1.793
Cs8I12Ge1Ca1Br12,2.717,0.000,-1.977
Cs8I12Mg1Ca1Br12,3.010,0.000,-1.993
Cs8Pb1Ca1I12Br12,3.098,0.000,-2.029
Cs8I12Ca1Sn1Br12,2.732,0.000,-2.007
Cs8Sr1Ca1I12Br12,3.771,0.000,-2.254
Cs8I12Zn1Ca1Br12,2.516,0.000,-1.780
Cs8I12Ca1Cl12Cd1,1.932,0.000,-1.840
Cs8I12Ca1Cu1Cl12,0.003,0.000,-1.876
Cs8I12Ge1Ca1Cl12,2.813,0.000,-2.080
Cs8I12Mg1Ca1Cl12,3.061,0.000,-2.105
Cs8Pb1Ca1I12Cl12,3.139,0.000,-2.137
Cs8I12Ca1Sn1Cl12,2.889,0.000,-2.112
Cs8Sr1Ca1I12Cl12,3.875,0.000,-2.377
Cs8I12Zn1Ca1Cl12,2.698,0.000,-1.892
Cs4I24K4Cu1Cd1,0.021,0.000,-1.150
Cs4I24K4Ge1Cd1,2.068,0.000,-1.349
Cs4I24K4Mg1Cd1,1.246,0.000,-1.292
Cs4Pb1K4I24Cd1,1.615,0.000,-1.321
Cs4I24K4Sn1Cd1,1.304,0.000,-1.367
Cs4Sr1K4I24Cd1,1.970,0.000,-1.540
Cs4I24K4Zn1Cd1,2.308,0.000,-1.165
Cs4I24Cu1Rb4Cd1,0.030,0.000,-1.104
Cs4I24Ge1Rb4Cd1,2.120,0.000,-1.366
Cs4I24Mg1Rb4Cd1,0.662,0.000,-1.295
Cs4Pb1I24Rb4Cd1,1.411,0.000,-1.374
Cs4I24Sn1Rb4Cd1,0.920,0.000,-1.363
Cs4Sr1I24Rb4Cd1,1.982,0.000,-1.529
Cs4I24Zn1Rb4Cd1,2.294,0.000,-1.132
I24K4Cu1Rb4Cd1,-0.002,0.000,-1.070
I24K4Ge1Rb4Cd1,1.330,0.000,-1.276
I24K4Mg1Rb4Cd1,1.375,0.000,-1.247
Pb1I24K4Rb4Cd1,1.679,0.000,-1.290
I24K4Sn1Rb4Cd1,1.274,0.000,-1.288
I24Sr1K4Rb4Cd1,2.332,0.000,-1.506
I24K4Zn1Rb4Cd1,2.201,0.000,-1.072
Cs8Cl12Br12Cu4Cd4,0.062,105.134,-0.879
Cs8Ge1Cl12Br12Cd1,1.748,0.000,-1.706
Cs8Mg1Cl12Br12Cd1,2.043,0.000,-1.757
Cs8Pb1Cl12Br12Cd1,2.253,0.000,-1.740
Cs8Cl12Sn1Br12Cd1,1.644,0.000,-1.720
Cs8Sr4Cl12Br12Cd4,3.120,69.723,-1.499
Cs8Zn1Cl12Br12Cd1,3.132,0.000,-1.514
Cs8I12Br12Cu1Cd1,-0.014,0.000,-1.250
Cs8I12Ge1Br12Cd1,1.194,0.000,-1.471
Cs8I12Mg1Br12Cd1,0.871,0.000,-1.462
Cs8Pb1I12Br12Cd1,1.599,0.000,-1.502
Cs8I12Sn4Br12Cd4,0.268,67.217,-0.892
Cs8Sr1I12Br12Cd1,2.308,0.000,-1.733
Cs8I12Zn1Br12Cd1,2.541,0.000,-1.302
Cs8I12Cl12Cu1Cd1,0.010,0.000,-1.311
Cs8I12Ge1Cl12Cd1,2.222,0.000,-1.568
Cs8I12Mg1Cl12Cd1,2.162,0.000,-1.587
Cs8Pb1Cl12I12Cd1,1.674,0.000,-1.577
Cs8I12Cl12Sn1Cd1,1.357,0.000,-1.563
Cs8Sr1Cl12I12Cd1,2.282,0.000,-1.827
Cs8I12Zn1Cl12Cd1,1.905,0.000,-1.352
Cs4I24K4Ge1Cu1,0.018,0.000,-1.442
Cs4I24K4Mg1Cu1,0.004,0.000,-1.375
Cs4Pb1K4I24Cu1,0.020,0.000,-1.464
Cs4I24K4Sn1Cu1,0.153,0.000,-1.468
Cs4Sr1K4I24Cu1,0.003,0.000,-1.667
Cs4I24K4Zn1Cu1,0.001,0.000,-1.222
Cs4I24Ge1Cu1Rb4,0.008,0.000,-1.453
Cs4I24Mg1Cu1Rb4,0.043,0.000,-1.384
Cs4Pb1I24Cu1Rb4,0.186,0.000,-1.464
Cs4I24Cu1Sn1Rb4,0.010,0.000,-1.493
Cs4Sr1I24Cu1Rb4,0.015,0.000,-1.631
Cs4I24Zn1Cu1Rb4,0.009,0.000,-1.255
I24K4Cu1Ge1Rb4,0.036,0.000,-1.416
I24K4Cu1Mg1Rb4,0.062,0.000,-1.333
Pb1I24K4Cu1Rb4,0.030,0.000,-1.438
I24K4Cu1Sn1Rb4,0.050,0.000,-1.454
I24Sr1K4Cu1Rb4,0.008,0.000,-1.654
I24K4Cu1Zn1Rb4,0.094,0.000,-1.227
Cs8Ge1Br12Cu1Cl12,0.129,0.000,-1.816
Cs8Mg1Br12Cu1Cl12,0.047,0.000,-1.831
Cs8Pb1Br12Cu1Cl12,0.061,0.000,-1.836
Cs8Br12Sn1Cu1Cl12,0.198,0.000,-1.866
Cs8Sr1Br12Cu1Cl12,0.053,0.000,-2.059
Cs8Zn1Br12Cu1Cl12,0.035,0.000,-1.520
Cs8I12Ge1Br12Cu1,0.003,0.000,-1.578
Cs8I12Mg1Br12Cu1,0.004,0.000,-1.537
Cs8Pb1I12Br12Cu1,0.153,0.000,-1.608
Cs8I12Br12Sn1Cu1,0.124,0.000,-1.635
Cs8Sr4I12Br12Cu4,0.004,203.312,-1.019
Cs8I12Zn1Br12Cu1,0.006,0.000,-1.308
Cs8I12Ge1Cu1Cl12,0.020,0.000,-1.694
Cs8I12Mg1Cu1Cl12,0.004,0.000,-1.643
Cs8Pb1I12Cu1Cl12,0.037,0.000,-1.663
Cs8I12Sn1Cu1Cl12,0.004,0.000,-1.711
Cs8Sr1I12Cu1Cl12,,,
Cs8I12Zn1Cu1Cl12,0.009,0.000,-1.455
Cs4I24K4Ge1Mg1,2.032,0.000,-1.540
Cs4Pb1K4I24Ge1,1.536,0.000,-1.596
Cs4I24K4Ge1Sn1,1.210,0.000,-1.590
Cs4Sr1K4I24Ge1,2.746,0.000,-1.774
Cs4I24K4Ge1Zn1,2.318,0.000,-1.394
