Material composition,GGA Band gap (eV),Stability (meV/atom),Formation energy (eV/atom)
Cs7Na1I24Fe8,-165.764,,
I24Na8Fe8,1.344,27.782,-0.438
Cs4Na4I24Fe8,2.484,0.000,-0.574
Cs6Na2I24Fe8,,,
Cs2Na6I24Fe8,2.658,0.000,-0.528
Cs7I24Fe8Rb1,1.185,4.636,-0.625
I24Fe8Rb8,0.996,0.000,-0.585
Cs4I24Fe8Rb4,,,
Cs6I24Fe8Rb2,0.882,9.160,-0.618
Cs2I24Fe8Rb6,1.053,0.000,-0.593
Cs8I21Fe8Br3,0.952,0.000,-0.665
Cs8Fe8Br24,2.325,252.256,-0.535
Cs8I12Fe8Br12,1.415,0.000,-0.776
Cs8I18Fe8Br6,1.145,0.000,-0.704
Cs8I6Fe8Br18,1.320,0.000,-0.847
Cs8I21Fe8Cl3,0.995,0.000,-0.687
Cs8Fe8Cl24,3.082,0.000,-1.145
Cs8I12Fe8Cl12,1.334,0.000,-0.859
Cs8I18Fe8Cl6,1.197,0.000,-0.746
Cs8I6Fe8Cl18,,,
Cs7Na1Mn8I24,0.916,0.000,-0.795
I24Na8Mn8,0.815,54.296,-0.595
Cs4Na4Mn8I24,1.058,7.551,-0.710
Cs6Na2Mn8I24,0.928,0.000,-0.766
Cs2Na6Mn8I24,1.985,0.000,-0.715
Cs7I24Mn8Rb1,0.927,0.000,-0.818
I24Mn8Rb8,0.929,0.000,-0.772
Cs4I24Mn8Rb4,0.931,0.000,-0.798
Cs6I24Mn8Rb2,0.928,0.000,-0.812
Cs2I24Mn8Rb6,0.933,0.000,-0.785
Cs8I24Mn7Co1,0.924,0.000,-0.783
Cs8I24Co8,1.476,0.000,-0.582
Cs8I24Mn4Co4,0.983,28.212,-0.666
Cs8I24Mn6Co2,0.930,0.000,-0.741
Cs8I24Mn2Co6,,,
Cs8I24Mn7Fe1,0.915,0.000,-0.801
Cs8I24Fe8,1.285,0.000,-0.636
Cs8I24Mn4Fe4,,,
Cs8I24Mn6Fe2,,,
Cs8I24Mn2Fe6,0.976,0.739,-0.675
Cs8I21Mn8Br3,0.961,0.000,-0.857
Cs8Mn8Br24,1.849,0.000,-1.126
Cs8I12Mn8Br12,1.094,0.000,-0.962
Cs8I18Mn8Br6,,,
Cs8I6Mn8Br18,1.301,0.000,-1.040
Cs8I21Mn8Cl3,1.013,0.000,-0.875
Cs8Mn8Cl24,2.742,0.000,-1.337
Cs8I12Mn8Cl12,1.264,0.000,-1.048
Cs8I18Mn8Cl6,,,
Cs8I6Mn8Cl18,1.616,0.000,-1.178
I21Na8Co8Br3,1.618,39.301,-0.465
Na8Co8Br24,1.569,0.000,-0.650
I12Na8Co8Br12,1.449,34.589,-0.543
I18Na8Co8Br6,1.520,63.123,-0.479
I6Na8Co8Br18,1.850,0.000,-0.621
I21Na8Co8Cl3,1.269,66.534,-0.464
Na8Co8Cl24,2.601,0.000,-0.921
I12Na8Co8Cl12,1.487,29.540,-0.655
I18Na8Co8Cl6,1.385,58.858,-0.537
I6Na8Co8Cl18,1.277,18.886,-0.730
I21Na8Fe8Br3,2.517,0.000,-0.524
Na8Fe8Br24,2.708,0.000,-0.766
I12Na8Fe8Br12,2.344,0.000,-0.621
I18Na8Fe8Br6,2.562,0.000,-0.564
I6Na8Fe8Br18,1.830,0.000,-0.671
I21Na8Fe8Cl3,2.582,0.000,-0.552
Na8Fe8Cl24,3.113,0.000,-0.959
I12Na8Fe8Cl12,2.148,0.000,-0.717
I18Na8Fe8Cl6,2.672,0.000,-0.639
I6Na8Fe8Cl18,2.164,0.000,-0.818
I24Na8Mn7Co1,1.454,0.000,-0.645
I24Na8Co8,1.458,9.343,-0.457
I24Na8Mn4Co4,1.665,0.978,-0.557
I24Na8Mn6Co2,1.830,0.000,-0.644
I24Na8Mn2Co6,1.433,37.348,-0.474
I24Na8Mn7Fe1,1.836,2.411,-0.624
I24Na8Fe8,1.344,27.789,-0.438
I24Na8Mn4Fe4,2.510,0.000,-0.598
I24Na8Mn6Fe2,2.217,0.000,-0.637
I24Na8Mn2Fe6,2.759,0.000,-0.586
I21Na8Mn8Br3,1.647,15.011,-0.673
Na8Mn8Br24,1.794,12.243,-0.911
I12Na8Mn8Br12,2.218,0.000,-0.827
I18Na8Mn8Br6,2.934,0.000,-0.750
I6Na8Mn8Br18,2.317,0.000,-0.906
I21Na8Mn8Cl3,2.978,0.000,-0.739
Na8Mn8Cl24,3.520,0.000,-1.218
I12Na8Mn8Cl12,2.331,4.400,-0.898
I18Na8Mn8Cl6,2.938,0.000,-0.791
I6Na8Mn8Cl18,2.570,0.000,-1.055
Cs8I24Mn8,0.633,0.000,-0.878
I21Co8Br3Rb8,1.381,7.676,-0.584
Co8Br24Rb8,1.451,0.000,-0.741
I12Co8Br12Rb8,1.739,0.000,-0.698
I18Co8Br6Rb8,1.433,7.123,-0.615
I6Co8Br18Rb8,1.764,0.000,-0.747
I21Co8Rb8Cl3,1.467,37.344,-0.574
Co8Rb8Cl24,1.933,0.000,-0.959
I12Co8Rb8Cl12,1.528,0.000,-0.760
I18Co8Rb8Cl6,1.273,7.066,-0.654
I6Co8Rb8Cl18,1.849,0.000,-0.899
I21Br3Fe8Rb8,1.010,0.000,-0.617
Br24Fe8Rb8,2.080,0.000,-0.898
I12Br12Fe8Rb8,1.180,0.000,-0.729
I18Br6Fe8Rb8,1.100,190.246,-0.432
I6Br18Fe8Rb8,1.566,0.000,-0.810
I21Fe8Rb8Cl3,1.168,0.000,-0.645
Fe8Rb8Cl24,3.091,0.000,-1.125
I12Fe8Rb8Cl12,1.930,0.000,-0.841
I18Fe8Rb8Cl6,1.888,0.000,-0.717
I6Fe8Rb8Cl18,2.013,0.000,-0.963
I24Mn7Co1Rb8,0.914,0.000,-0.731
I24Co8Rb8,1.483,26.950,-0.535
I24Mn4Co4Rb8,0.928,44.065,-0.609
I24Mn6Co2Rb8,0.939,8.993,-0.690
I24Mn2Co6Rb8,,,
I24Mn7Fe1Rb8,0.908,0.000,-0.748
I24Fe8Rb8,0.865,11.581,-0.550
I24Mn4Fe4Rb8,0.878,0.000,-0.677
I24Mn6Fe2Rb8,0.905,0.000,-0.723
I24Mn2Fe6Rb8,1.501,0.000,-0.643
I21Mn8Br3Rb8,0.960,0.000,-0.806
Mn8Br24Rb8,1.878,0.000,-1.085
I12Mn8Br12Rb8,1.560,0.000,-0.927
I18Mn8Br6Rb8,0.965,0.000,-0.843
I6Mn8Br18Rb8,1.334,0.000,-0.998
I21Mn8Rb8Cl3,1.376,0.000,-0.837
Mn8Rb8Cl24,2.772,0.000,-1.309
I12Mn8Rb8Cl12,1.723,0.000,-1.017
I18Mn8Rb8Cl6,1.619,0.000,-0.902
I6Mn8Rb8Cl18,1.686,0.000,-1.145
H7C3Ba1Br3,3.614,187.337,-0.242
H7C3Ba1Cl3,4.699,179.520,-0.313
H7C3Ba1F3,5.629,262.227,-0.674
I3H7C3Ba1,2.798,203.270,-0.150
Be1C3Br3H7,3.833,180.344,0.003
