,0,1,2,3
1076,C1H5N2Pb1Cl3,C1H5N2,Pb1,Cl3
1077,C1H5N2Pb1Cl3,C1H5N2,Pb1,Cl3
1078,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1079,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1080,C4H12N1Pb1Cl3,C4H12N1,Pb1,Cl3
1081,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1082,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1083,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1084,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1085,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1086,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1087,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1088,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1089,H5N2Pb1Cl3,H5N2,Pb1,Cl3
1090,H4N1Pb1Cl3,H4N1,Pb1,Cl3
1091,H4N1Pb1Cl3,H4N1,Pb1,Cl3
1092,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1093,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1094,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1095,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1096,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1097,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1098,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1099,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1100,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1101,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1102,C3H10N1Pb1Cl3,C3H10N1,Pb1,Cl3
1103,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1104,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1105,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1106,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1107,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1108,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1109,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1110,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1111,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1112,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1113,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1114,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1115,C3H8N1Pb1Cl3,C3H8N1,Pb1,Cl3
1116,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1117,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1118,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1119,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1120,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1121,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1122,C3H5N2Pb1Cl3,C3H5N2,Pb1,Cl3
1123,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1124,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1125,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1126,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1127,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1128,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1129,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1130,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1131,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1132,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1133,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1134,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1135,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1136,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1137,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1138,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1139,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1140,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1141,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1142,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1143,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1144,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1145,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1146,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1147,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1148,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1149,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1150,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1151,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1152,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1153,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1154,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1155,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1156,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1157,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1158,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1159,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1160,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1161,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1162,C2H8N1Pb1Br3,C2H8N1,Pb1,Br3
1163,C2H7N2Pb1Br3,C2H7N2,Pb1,Br3
1164,C2H7N2Pb1Br3,C2H7N2,Pb1,Br3
1165,C2H7N2Pb1Br3,C2H7N2,Pb1,Br3
1166,C2H7N2Pb1Br3,C2H7N2,Pb1,Br3
1167,C2H7N2Pb1Br3,C2H7N2,Pb1,Br3
1168,C2H7N2Pb1Br3,C2H7N2,Pb1,Br3
1169,C1H6N1Pb1Br3,C1H6N1,Pb1,Br3
1170,C1H6N1Pb1Br3,C1H6N1,Pb1,Br3
1171,C1H6N1Pb1Br3,C1H6N1,Pb1,Br3
1172,C1H6N1Pb1Br3,C1H6N1,Pb1,Br3
1173,C1H6N1Pb1Br3,C1H6N1,Pb1,Br3
1174,C1H6N3Pb1Br3,C1H6N3,Pb1,Br3
1175,C1H6N3Pb1Br3,C1H6N3,Pb1,Br3
1176,C1H6N3Pb1Br3,C1H6N3,Pb1,Br3
1177,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1178,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1179,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1180,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1181,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1182,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1183,H4N1O1Pb3Br,H4N1O1,Pb3,Br1
1184,C1H5N2Pb1Br3,C1H5N2,Pb1,Br3
1185,C1H5N2Pb1Br3,C1H5N2,Pb1,Br3
1186,C1H5N2Pb1Br3,C1H5N2,Pb1,Br3
1187,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1188,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1189,C4H12N1Pb1Br3,C4H12N1,Pb1,Br3
1190,H5N2Pb1Br3,H5N2,Pb1,Br3
1191,H5N2Pb1Br3,H5N2,Pb1,Br3
1192,H5N2Pb1Br3,H5N2,Pb1,Br3
1193,H5N2Pb1Br3,H5N2,Pb1,Br3
1194,H5N2Pb1Br3,H5N2,Pb1,Br3
1195,H5N2Pb1Br3,H5N2,Pb1,Br3
1196,H5N2Pb1Br3,H5N2,Pb1,Br3
1197,H5N2Pb1Br3,H5N2,Pb1,Br3
1198,H4N1Pb1Br3,H4N1,Pb1,Br3
1199,H4N1Pb1Br3,H4N1,Pb1,Br3
1200,H4N1Pb1Br3,H4N1,Pb1,Br3
1201,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1202,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1203,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1204,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1205,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1206,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1207,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1208,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1209,C3H10N1Pb1Br3,C3H10N1,Pb1,Br3
1210,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1211,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1212,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1213,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1214,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1215,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1216,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1217,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1218,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1219,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1220,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1221,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1222,C3H8N1Pb1Br3,C3H8N1,Pb1,Br3
1223,C3H5N2Pb1Br3,C3H5N2,Pb1,Br3
1224,C3H5N2Pb1Br3,C3H5N2,Pb1,Br3
1225,C3H5N2Pb1Br3,C3H5N2,Pb1,Br3
1226,C3H5N2Pb1Br3,C3H5N2,Pb1,Br3
1227,C3H5N2Pb1Br3,C3H5N2,Pb1,Br3
1228,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1229,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1230,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1231,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1232,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1233,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1234,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1235,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1236,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1237,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1238,C2H8N1Pb1I3,C2H8N1,Pb1,I3
1239,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1240,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1241,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1242,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1243,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1244,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1245,C3H10N1Pb1I3,C3H10N1,Pb1,I3
1246,C3H10N1Pb1I3,C3H10N1,Pb1,I3
