,ToleranceFactor
375,1.1630554160500042
376,1.1630554160500042
377,1.6947378919585776
378,1.1622826217536255
379,1.162669018901815
380,1.2716330146912174
381,1.3678459045903704
382,1.3682323017385598
383,1.977194207285007
384,0.8751895406489234
385,0.9590377218060168
386,0.9401042615447377
387,1.1414171757513996
388,1.0367035485920801
389,1.057568994594306
390,0.8748031435007342
391,2.0776574658142435
392,2.0579512112565856
393,2.377501652809195
394,1.4385565827090252
395,1.4385565827090252
396,1.1510771044561336
397,1.1591914445681104
398,1.9965140646944755
399,1.1510771044561336
400,1.1854664506449877
401,1.1653737989391404
402,1.1510771044561336
403,1.1514635016043233
404,1.1499179130115655
405,1.1514635016043233
406,1.5003801264193244
407,0.8512329174611826
408,0.8504601231648038
409,0.8508465203129931
410,1.4130543709285266
411,1.4118951794839585
412,1.4099631937430117
413,1.4095767965948225
414,1.4107359880393904
415,1.4130543709285266
416,1.4134407680767163
417,1.4130543709285266
418,1.450921291451085
419,1.2909528721006858
420,1.2897936806561177
421,1.2897936806561177
422,1.2897936806561177
423,1.324569423993161
424,1.302931183694556
425,1.9138250749819505
426,1.3021583893981774
427,1.787859604672216
428,1.7724037187446409
429,1.7094209835897738
430,1.29443044643439
431,2.192031021678297
432,2.6572531880982986
433,1.648370234175853
434,1.3315245726605696
435,1.328819792623244
436,1.312204715251101
437,1.3125911123992906
438,1.8176121850827975
439,1.3125911123992906
440,1.7751084987819665
441,1.3125911123992906
442,1.0041110286478931
443,1.007990901246996
444,1.0227344171235881
445,1.0134227228857406
446,1.0126467483659198
447,1.0242863661632293
448,1.342435919289687
449,1.0122587611060097
450,1.0192425317843952
451,1.0242863661632293
452,1.0044990159078033
453,1.2656144418274446
454,1.286953741122512
455,1.2597946329287901
456,1.1333107861980276
457,1.1542620982331844
458,1.1593059326120188
459,2.4423798011354276
460,1.3734749000825122
461,1.4949149124344403
462,1.5046145939321984
463,1.447580466725382
464,1.4502963775447546
465,1.422749282091122
466,1.4262411674303148
467,1.5360415619849337
468,1.6062672560287006
469,1.0723967863921084
470,1.0669649647533639
471,1.0824844551497765
472,1.542637345403409
473,1.1057636907443953
474,1.2586306711490591
475,1.0863643277488795
476,0.994023359890225
477,0.9932473853704041
478,0.9858756274321082
479,0.9905314745510321
480,1.0010071305686106
481,1.0013951178285208
482,1.0006191433087002
483,1.3292443524527364
484,0.9975152452294176
485,1.0626971048943505
486,1.0623091176344401
487,1.06192113037453
488,1.0704568500925566
489,1.058429245035337
490,1.0886922513083415
491,0.8074014878733637
492,0.8074014878733637
493,1.1356387097574894
494,0.808953436913005
495,0.807789475133274
496,0.9067262264104041
497,1.0161386337051126
498,1.440208708787086
499,0.5261107244383859
500,0.6646221762263681
501,0.5722812083677133
502,0.6859614755214354
503,0.5241707881388344
504,1.9775710637628712
505,1.688520555129687
506,1.0840364041894177
507,1.4972428359939023
508,0.7949858955562337
509,1.1876290025854717
510,0.795373882816144
511,0.796537844595875
512,0.7949858955562337
513,1.079380557070494
514,1.0467896272380275
515,0.5005035652843052
516,0.4993396035045743
517,0.5757730937069062
518,1.0533854106565028
519,1.0549373596961442
520,1.0568772959956958
521,1.0533854106565028
522,1.0529974233965926
523,1.0638610666740813
524,1.7571943001338128
525,0.93854118172305
526,0.9369892326834087
527,0.9400931307626912
528,0.9393171562428705
529,0.9711321115555164
530,0.9641483408771306
531,0.9975152452294176
532,0.9463009269212562
533,1.342435919289687
534,1.3501956644878932
535,1.3269164288932744
536,1.449908390284844
537,1.7292592174202701
538,1.274538148805382
539,0.9738480223748884
540,0.973072047855068
541,0.984323678392467
542,0.9610444427978482
543,0.9610444427978482
544,1.3913223140383868
545,0.9610444427978482
546,1.3556274861266375
547,0.9552246338991933
548,1.7954068583221021
549,1.7143524119414857
550,1.904270780029959
551,1.9412370338186082
552,1.8116855755868284
553,1.8744264650446274
554,1.8873137828792022
555,1.8123638554728583
556,1.9266540162689578
557,2.066379672791191
558,2.5191314967163905
559,1.7448750068128474
560,1.7811629807154663
561,1.7791281410573758
562,1.8320339721677361
563,1.7825195404875271
564,1.8303382724526605
565,2.2813943966627845
566,2.0941891481184323
567,1.9259757363829273
568,2.3180215105084185
569,2.1135201248702944
570,1.810668155757783
571,2.4916611613321655
572,1.7842152402026026
573,2.1260683027618543
574,1.852721508691659
575,1.7743801818551637
576,1.6339762454468996
577,1.7465707065279232
578,1.7835369603165725
579,2.0846932297140084
580,1.9985516841881654
581,1.883583243506036
582,2.1894874721056836
583,1.8934183018534747
584,1.5942968721141295
585,1.5196860846508007
586,1.6495766828255958
587,1.8805309840188997
588,1.8825658236769907
589,1.8696785058424155
590,2.018221800883043
591,1.782858680430542
592,1.8605217273810073
593,1.6241411870994609
594,1.780145560886421
595,2.0239871799143
596,2.0250045997433452
597,2.000586523846256
598,1.7187612312006824
599,1.9137666984343829
600,1.6394024845351416
601,1.9134275584913671
602,1.6984128346197747
603,1.9066447596310647
604,1.4372750784981239
605,1.9059664797450346
606,2.1050416262949163
607,1.8113464356438131
608,1.5837835338806603
609,1.5217209243088914
610,1.68688207655726
611,1.7479272662999836
612,1.9585331709123799
613,2.0328048184326932
614,1.8205032141052218
615,1.8025287971254196
616,1.7977808379232079
617,1.8228771937063275
618,1.896470561340611
619,1.9761684479491666
620,2.034161378204754
621,1.6641597003752464
622,1.9826121068664542
623,1.990412325555802
624,1.9076621794601103
625,2.1199637837875818
626,1.7231700504598793
627,1.75165780567315
628,1.852721508691659
629,1.6397416244781569
630,1.7004476742778651
631,1.6390633445921268
632,1.6387242046491115
633,1.7964242781511475
634,1.7743801818551637
635,1.5346082421434666
636,1.4874677900643634
637,1.8700176457854305
638,1.7336833886933483
639,1.7876066396327541
640,2.200679090225183
641,1.961585430399516
642,1.7313094090922423
643,1.81643353478904
644,1.7336833886933483
645,2.0616317135889797
646,1.7397879076676204
647,1.8896877624803083
648,1.7886240594617993
649,1.9219060570667457
650,1.8330513919967815
651,1.7252048901179697
652,1.958872310855395
653,1.7269005898330456
654,1.722830910516864
655,1.7245266102319396
656,1.9266540162689578
657,2.0334830983187238
658,1.99821254424515
659,1.7347008085223936
660,1.6882386363293205
661,1.7438575869838018
662,1.5766615950773426
663,1.575305035305282
664,1.9839686666385146
665,1.9486981125649412
666,1.943950153362729
667,1.9948211448149986
668,1.075391563054541
669,1.0776831128083861
670,1.0776831128083861
671,1.0789925698105836
672,1.0701537350457517
673,1.0789925698105836
674,1.0776831128083861
675,1.0897955900787113
676,1.0776831128083861
677,1.0803020268127808
678,1.0793199340611328
679,1.0776831128083861
680,1.2966897964258863
681,1.3326998639863123
682,1.2937435181709425
683,1.203718349269877
684,1.189314322245707
685,1.205355170522624
686,2.1105173232915146
687,2.1023332170277813
688,2.1095352305398665
689,2.0551927649486785
690,2.1563483183684204
691,2.0872744615025125
692,2.0123080481267164
693,1.4613540144521981
694,1.4492415371818728
695,1.4521878154368169
696,1.792974000258667
697,1.182439672984171
698,1.1287519358940814
699,1.130388757146828
700,1.1647620034545072
701,1.6266729609796082
702,1.5998290924345637
703,1.165416731955606
704,1.130716121397377
705,1.600483820935662
706,1.1300613928962786
707,1.0649159070369625
708,1.0652432712875117
709,1.0649159070369625
710,1.0652432712875117
711,1.0665527282897092
712,1.4155230193752921
713,1.0658979997886104
714,1.1218772866325453
715,1.1215499223819962
716,1.1218772866325453
717,1.137590770658913
718,1.1294066643951801
719,1.1140205446193616
720,1.1477390624259425
721,0.9067989740216372
722,0.906471609771088
723,1.294398246672041
724,0.9061442455205385
725,0.9067989740216372
