ID(Khazana),Material composition,CationA,CationB,Anion X,rMass,rIon,ToleranceFactor,class,total_number,atom_type,tool,potential,"Band Gap, HSE06 (eV)","Band Gap, GGA (eV)",dielectric_total,dielectric_electron,dielectric_ion,atomization_energy[eV/atom],total_energy[eV],cutoff_energy[eV],k-points,author,,,
2582,H4N1O1Sn3Br,H4N1O1,Sn3,Br1,0.277,N9,1.210265634,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,2.7,1.98,7.3427,3.3795,3.9632,-4.4185,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2583,H4N1O1Sn3Br,H4N1O1,Sn3,Br1,0.231,N9,1.195206879,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,2.86,2.1,20.0761,3.9085,16.1676,-4.5585,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2584,H4N1O1Sn3Br,H4N1O1,Sn3,Br1,0.256,N9,1.203390985,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.2,2.36,14.6961,3.8791,10.817,-4.5581,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2585,H4N1O1Sn3Br,H4N1O1,Sn3,Br1,0.464,N9,1.271482749,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.34,2.46,14.0097,3.7263,10.2834,-3.9523,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2586,H4N1O1Sn3Br,H4N1O1,Sn3,Br1,0.528,N9,1.292434061,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.52,2.67,16.5537,3.6185,12.9352,-3.9512,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2587,H4N1O1Sn3Br,H4N1O1,Sn3,Br1,0.065,N9,1.140864413,Hybrid organic-inorganic perovskite,9,5,VASP,PAW,3.35,2.47,16.9815,3.7486,13.2329,-3.9491,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2588,C1H5N2Sn1Br3,C1H5N2,Sn1,Br3,3.041,N6,2.115100423,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,1.99,1.37,14.3057,3.7328,10.573,-3.9518,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2589,C1H5N2Sn1Br3,C1H5N2,Sn1,Br3,2.968,N5,2.091202833,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,2.06,1.45,20.1905,3.833,16.3575,-3.9547,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2590,C1H5N2Sn1Br3,C1H5N2,Sn1,Br3,3.788,C12,1.934067992,Hybrid organic-inorganic perovskite,12,5,VASP,PAW,3.47,2.58,20.6782,3.8247,16.8535,-3.9336,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2591,C4H12N1Sn1Br3,C4H12N1,Sn1,Br3,1.522,C1,1.192260601,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,2.99,2.21,12.6875,3.5063,9.1812,-4.7248,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2592,C4H12N1Sn1Br3,C4H12N1,Sn1,Br3,1.523,C3,1.192587965,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,3.13,2.34,12.3426,3.7154,8.6272,-4.7263,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2593,C4H12N1Sn1Br3,C4H12N1,Sn1,Br3,1.524,C3,1.192915329,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,3.75,2.86,15.4972,3.5504,11.9468,-4.2036,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2594,H5N2Sn1Br3,H5N2,Sn1,Br3,0.778,N10,1.374275124,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,1.91,1.34,17.9489,3.5757,14.3732,-4.2048,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2595,H5N2Sn1Br3,H5N2,Sn1,Br3,0.797,N11,1.380495045,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.81,2.06,19.0129,3.3633,15.6496,-4.202,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2596,H5N2Sn1Br3,H5N2,Sn1,Br3,3.135,N10,2.145872662,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.18,1.64,20.9679,3.4435,17.5244,-4.2049,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2597,H5N2Sn1Br3,H5N2,Sn1,Br3,0.779,N10,1.374602488,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.2,2.43,27.5363,4.0159,23.5204,-4.2134,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2598,H5N2Sn1Br3,H5N2,Sn1,Br3,0.865,N10,1.402755814,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.66,2.68,24.5542,4.055,20.4992,-4.2138,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2599,H5N2Sn1Br3,H5N2,Sn1,Br3,0.904,N10,1.415523019,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.55,2.64,12.9818,3.3307,9.6511,-4.6738,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2600,H5N2Sn1Br3,H5N2,Sn1,Br3,0.778,N10,1.374275124,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.79,2.1,8.8674,3.3895,5.4779,-4.6817,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2601,H5N2Sn1Br3,H5N2,Sn1,Br3,0.775,N10,1.373293031,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.49,2.63,8.6762,3.3899,5.2863,-4.6818,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2602,H5N2Sn1Br3,H5N2,Sn1,Br3,0.774,N10,1.372965667,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.38,2.5,11.9002,3.5618,8.3385,-4.6822,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2603,H5N2Sn1Br3,H5N2,Sn1,Br3,0.779,N10,1.374602488,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.57,1.94,45.0047,3.53,41.4747,-4.6827,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2604,H5N2Sn1Br3,H5N2,Sn1,Br3,1.719,N10,1.682324884,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,3.29,2.52,48.2204,3.5574,44.663,-4.6822,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2605,H5N2Sn1Br3,H5N2,Sn1,Br3,1.633,N10,1.654171558,Hybrid organic-inorganic perovskite,11,4,VASP,PAW,2.59,1.88,9.2725,3.3278,5.9447,-4.3663,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2606,H4N1Sn1Br3,H4N1,Sn1,Br3,0.003,N5,1.12056783,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,3.64,2.69,10.1128,3.2958,6.817,-4.3669,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2607,H4N1Sn1Br3,H4N1,Sn1,Br3,1.46,SKIP,1.119585737,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,2.38,1.72,11.7599,3.2824,8.4775,-4.3671,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2608,H4N1Sn1Br3,H4N1,Sn1,Br3,0.002,N5,1.120240465,Hybrid organic-inorganic perovskite,9,4,VASP,PAW,3.59,2.71,12.0646,3.2904,8.7742,-4.3669,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2609,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.459,C1,1.171636653,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.49,1.74,12.4448,3.2885,9.1563,-4.3668,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2610,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.452,C1,1.169345103,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.96,2.18,9.426,3.5087,5.9173,-4.3755,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2611,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.453,C2,1.169672467,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.07,2.33,9.4079,3.4847,5.9232,-4.3765,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2612,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.448,C3,1.168035646,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.42,2.63,9.1249,3.4326,5.6923,-4.3743,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2613,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.447,C1,1.167708282,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.02,2.23,13.6177,3.1672,10.4505,-4.4953,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2614,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.458,C1,1.171309288,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.58,1.86,8.7522,3.0464,5.7058,-4.4993,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2615,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.447,C1,1.167708282,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.55,2.65,5.7008,3.0887,2.6121,-4.5022,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2616,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.46,C1,1.171964017,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.49,2.64,6.2517,3.0121,3.2396,-4.5019,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2617,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.459,C1,1.171636653,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.58,2.72,4.8931,2.8592,2.0339,-4.5006,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2618,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.46,C1,1.171964017,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.29,2.47,8.1835,3.2999,4.8837,-4.5118,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2619,C3H10N1Sn1Br3,C3H10N1,Sn1,Br3,1.55,C1,1.2014268,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.85,2.93,6.3967,3.2674,3.1293,-4.511,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2620,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.14,C14,1.067207457,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.13,1.44,7.8689,3.3358,4.5332,-4.5104,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2621,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.137,C14,1.066225364,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.09,1.41,7.0567,3.2241,3.8326,-4.5139,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2622,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.137,C14,1.066225364,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.44,1.81,5.1341,2.8326,2.3014,-4.5838,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2623,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.138,C14,1.066552728,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.2,1.49,5.2925,3.0655,2.227,-4.5825,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2624,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.21,C14,1.090122954,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.93,1.93,5.6103,3.0418,2.5685,-4.583,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2625,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,2.637,C13,1.55727174,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,2.99,2.01,6.2802,3.1709,3.1093,-4.5007,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2626,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.171,C14,1.077355749,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.59,2.75,7.773,3.0117,4.7613,-4.4885,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2627,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,2.397,C14,1.47870432,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.78,2.87,6.2995,3.0546,3.245,-4.4919,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2628,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.134,C13,1.065243271,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.74,2.83,6.7881,2.9828,3.8054,-4.4956,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2629,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,2.407,C14,1.481977962,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.75,2.84,5.3722,2.9854,2.3868,-4.4929,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2630,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,2.349,C14,1.462990836,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.7,2.81,9.9261,3.2255,6.7006,-4.5014,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2631,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,2.212,C14,1.418141933,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.54,2.65,7.2494,2.9805,4.269,-4.4961,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2632,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,1.149,C14,1.070153735,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.59,2.76,7.888,3.3778,4.5102,-4.5063,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2633,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,3.25,N16,2.183519551,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.34,2.48,6.1816,3.2759,2.9057,-4.5075,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2634,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,4.059,C13,2.022783704,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.38,2.5,7.6244,3.3692,4.2552,-4.5064,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2635,C3H8N1Sn1Br3,C3H8N1,Sn1,Br3,2.084,C14,1.376239309,Hybrid organic-inorganic perovskite,16,5,VASP,PAW,3.49,2.58,9.708,3.1999,6.5081,-4.5046,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2636,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,1.24,C10,1.099943882,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,2.42,1.72,6.0713,3.0914,2.9799,-4.5035,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2637,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,1.223,C10,1.09437869,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,2.96,2.25,6.0034,3.0607,2.9427,-4.5021,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2638,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,1.197,C11,1.085867219,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,2.7,2,7.7361,3.2104,4.5256,-4.3728,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2639,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,1.197,C9,1.085867219,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.51,2.72,31.4153,3.5206,27.8947,-4.3717,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2640,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,1.197,C10,1.085867219,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.57,2.77,24.9155,3.4077,21.5078,-4.3774,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2641,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,2.262,C11,1.434510146,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.41,2.58,10.8927,3.2093,7.6834,-4.3851,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2642,C3H5N2Sn1Br3,C3H5N2,Sn1,Br3,1.197,C10,1.085867219,Hybrid organic-inorganic perovskite,14,5,VASP,PAW,3.56,2.76,17.303,3.0717,14.2313,-4.3823,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2643,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.329,C2,1.144086367,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,1.88,1.35,9.5661,3.2811,6.2851,-4.389,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2644,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.334,C2,1.145637039,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,1.84,1.27,22.744,3.3275,19.4165,-4.3885,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2645,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.33,C2,1.144396501,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.82,2.09,9.8006,3.2755,6.5252,-4.3893,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2646,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.336,C2,1.146257308,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.91,2.17,8.5917,3.247,5.3447,-4.3861,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2647,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.334,C2,1.145637039,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.72,2.03,39.884,3.6762,36.2078,-4.3946,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2648,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.335,C2,1.145947174,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.87,2.16,11.3811,3.5757,7.8054,-4.3962,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2649,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.334,C2,1.145637039,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.91,2.16,8.1793,3.1709,5.0083,-5.3804,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2650,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.368,C2,1.156181614,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.66,2.08,13.6135,3.1493,10.4641,-5.382,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2651,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.328,C2,1.143776232,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.99,2.2,8.7076,3.1414,5.5663,-5.3827,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2652,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.337,C2,1.146567443,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.75,2.05,9.3336,3.1454,6.1882,-5.3825,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2653,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.336,C2,1.146257308,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,1.93,1.29,9.0618,3.1432,5.9185,-5.3828,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2654,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.334,C2,1.145637039,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.8,2.09,13.0732,3.094,9.9792,-5.3984,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2655,C3H10N1Sn1I3,C3H10N1,Sn1,I3,2.002,C3,1.352806921,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.45,1.78,16.5368,3.0996,13.4372,-5.3982,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2656,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.995,C3,1.350635979,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.49,1.81,12.8837,3.2221,9.6616,-5.3993,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2657,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.993,C3,1.35001571,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.3,1.63,14.1835,3.2233,10.9603,-5.4013,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2658,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.697,C3,1.258215882,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.01,1.35,6.6813,2.8668,3.8145,-4.8637,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2659,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.669,C3,1.249532115,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.11,1.51,6.1942,2.859,3.3353,-4.8564,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2660,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.715,C3,1.263798304,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.02,1.37,9.7922,3.0018,6.7904,-4.8451,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2661,C3H10N1Sn1I3,C3H10N1,Sn1,I3,4.753,N17,2.609161996,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.07,2.3,12.5161,2.9978,9.5184,-4.8632,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2662,C3H10N1Sn1I3,C3H10N1,Sn1,I3,5.154,N17,2.733525951,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.11,2.31,11.7135,2.988,8.7255,-4.864,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2663,C3H10N1Sn1I3,C3H10N1,Sn1,I3,5.043,N17,2.699101016,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3,2.22,12.0146,2.9831,9.0315,-4.8645,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2664,C3H10N1Sn1I3,C3H10N1,Sn1,I3,5.327,N17,2.787179229,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.09,2.3,13.5539,3.0002,10.5537,-4.8628,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2665,C3H10N1Sn1I3,C3H10N1,Sn1,I3,2.049,N17,1.770558164,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.27,2.46,7.4633,2.8036,4.6596,-4.8609,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2666,C3H10N1Sn1I3,C3H10N1,Sn1,I3,4.484,C3,2.122560882,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.27,1.63,7.9847,2.8956,5.0891,-4.857,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2667,C4H12N1Sn1I3,C4H12N1,Sn1,I3,2.492,C1,1.504772852,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,2.47,1.75,7.5884,2.8996,4.6888,-4.8568,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2668,C4H12N1Sn1I3,C4H12N1,Sn1,I3,2.472,C1,1.498570161,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,2.72,2,6.3934,3.0505,3.3429,-4.8664,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2669,C4H12N1Sn1I3,C4H12N1,Sn1,I3,2.481,C1,1.501361372,Hybrid organic-inorganic perovskite,21,5,VASP,PAW,3.12,2.32,7.9195,3.0122,4.9073,-4.8778,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2670,C3H10N1Sn1I3,C3H10N1,Sn1,I3,3.842,C3,1.923454499,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.45,1.78,8.2477,2.9428,5.3049,-4.8779,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2671,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.489,C1,1.193707895,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.2,1.59,9.1934,2.9176,6.2758,-4.8805,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2672,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.494,C1,1.195258568,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.28,1.58,5.0528,2.8082,2.2446,-4.7671,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2673,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.492,C1,1.194638299,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.07,1.38,4.9901,2.728,2.2621,-4.7464,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2674,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.549,C1,1.212315968,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,2.98,2.23,4.95,2.8018,2.1483,-4.7678,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2675,C3H10N1Sn1I3,C3H10N1,Sn1,I3,3.021,C3,1.668834031,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.02,2.27,6.0999,2.8607,3.2393,-4.7525,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2676,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.613,C3,1.23216458,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.02,2.27,4.67,2.7712,1.8988,-4.7676,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2677,C3H10N1Sn1I3,C3H10N1,Sn1,I3,3.106,C2,1.695195468,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.19,2.42,4.8414,2.8597,1.9817,-4.7562,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2678,C3H10N1Sn1I3,C3H10N1,Sn1,I3,1.488,C3,1.193397761,Hybrid organic-inorganic perovskite,18,5,VASP,PAW,3.32,2.48,4.5246,2.795,1.7297,-4.7668,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2679,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.296,C12,1.133851926,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.03,1.45,30.3468,3.1466,27.2003,-4.5176,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2680,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.296,C12,1.133851926,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.04,1.48,13.2326,3.0527,10.18,-4.5375,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2681,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.295,C13,1.133541792,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,2.03,1.46,31.1871,3.1461,28.0409,-4.5173,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
2682,C2H8N1Sn1I3,C2H8N1,Sn1,I3,1.295,C13,1.133541792,Hybrid organic-inorganic perovskite,15,5,VASP,PAW,1.84,1.27,15.8995,3.131,12.7685,-4.6019,,,,C.Kim,T.D.Huan,S.Krishnan,R. Ramprasad
